profile,family,topology,method,run,seed,accuracy,precision,recall,f1,brier
cpu,hypercube,Q4,UP-GDN,1,4100,1.0,1.0,1.0,1.0,0.0
cpu,hypercube,Q4,Clustered-PMC,1,4100,0.8698,0.9306,0.5867,0.6847,0.1302
cpu,hypercube,Q4,UP-GDN,2,5102,1.0,1.0,1.0,1.0,0.0
cpu,hypercube,Q4,Clustered-PMC,2,5102,0.8396,0.9083,0.49,0.6044,0.1604
cpu,hypercube,Q4,UP-GDN,3,6104,1.0,1.0,1.0,1.0,0.0
cpu,hypercube,Q4,Clustered-PMC,3,6104,0.8677,0.9178,0.5933,0.687,0.1323
cpu,hypercube,Q5,UP-GDN,1,4106,0.999,0.9985,0.9983,0.9983,0.0005
cpu,hypercube,Q5,Clustered-PMC,1,4106,0.8583,0.9792,0.5483,0.6712,0.1417
cpu,hypercube,Q5,UP-GDN,2,5108,1.0,1.0,1.0,1.0,0.0
cpu,hypercube,Q5,Clustered-PMC,2,5108,0.8547,0.9833,0.535,0.6548,0.1453
cpu,hypercube,Q5,UP-GDN,3,6110,1.0,1.0,1.0,1.0,0.0
cpu,hypercube,Q5,Clustered-PMC,3,6110,0.8505,0.9833,0.5217,0.6406,0.1495
cpu,hypercube,Q6,UP-GDN,1,4112,0.9997,1.0,0.9991,0.9995,0.0002
cpu,hypercube,Q6,Clustered-PMC,1,4112,0.8602,0.9991,0.5298,0.6522,0.1398
cpu,hypercube,Q6,UP-GDN,2,5114,1.0,1.0,1.0,1.0,0.0
cpu,hypercube,Q6,Clustered-PMC,2,5114,0.8417,1.0,0.4667,0.599,0.1583
cpu,hypercube,Q6,UP-GDN,3,6116,0.9997,1.0,0.9991,0.9995,0.0002
cpu,hypercube,Q6,Clustered-PMC,3,6116,0.8594,1.0,0.5263,0.6449,0.1406
cpu,kary,"K(2,4)",UP-GDN,1,4118,0.999,1.0,0.9967,0.9981,0.001
cpu,kary,"K(2,4)",Clustered-PMC,1,4118,0.8698,0.9833,0.5833,0.6944,0.1302
