profile,topology,method,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std
cpu,"AQ(2,4)",Clustered-PMC,3,0.8385,0.0109,0.8722,0.0347,0.4833,0.0348,0.5900,0.0366,0.1615,0.0109
cpu,"AQ(2,4)",UP-GDN,3,0.9997,0.0006,0.9991,0.0016,1.0000,0.0000,0.9995,0.0009,0.0003,0.0006
cpu,"AQ(2,6)",Clustered-PMC,3,0.8556,0.0049,0.9884,0.0101,0.5278,0.0158,0.6457,0.0172,0.1444,0.0049
cpu,"AQ(2,6)",UP-GDN,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
cpu,"AQ(3,4)",Clustered-PMC,3,0.7882,0.0152,0.9389,0.0255,0.2865,0.0513,0.3971,0.0573,0.2118,0.0152
cpu,"AQ(3,4)",UP-GDN,3,0.9999,0.0002,0.9997,0.0005,1.0000,0.0000,0.9999,0.0002,0.0001,0.0002
cpu,"K(2,4)",Clustered-PMC,3,0.8827,0.0188,0.9736,0.0134,0.6278,0.0605,0.7263,0.0528,0.1173,0.0188
cpu,"K(2,4)",UP-GDN,3,0.9997,0.0006,1.0000,0.0000,0.9989,0.0019,0.9994,0.0011,0.0003,0.0006
cpu,"K(2,6)",Clustered-PMC,3,0.8799,0.0082,0.9709,0.0077,0.6202,0.0281,0.7302,0.0143,0.1201,0.0082
cpu,"K(2,6)",UP-GDN,3,0.9981,0.0005,0.9986,0.0024,0.9955,0.0016,0.9969,0.0007,0.0016,0.0003
cpu,"K(3,4)",Clustered-PMC,3,0.8467,0.0119,0.9981,0.0027,0.4848,0.0390,0.6140,0.0338,0.1533,0.0119
cpu,"K(3,4)",UP-GDN,3,0.9997,0.0003,0.9994,0.0010,0.9997,0.0005,0.9995,0.0005,0.0003,0.0003
cpu,Q4,Clustered-PMC,3,0.8590,0.0169,0.9189,0.0112,0.5567,0.0578,0.6587,0.0470,0.1410,0.0169
cpu,Q4,UP-GDN,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
cpu,Q5,Clustered-PMC,3,0.8545,0.0039,0.9819,0.0024,0.5350,0.0133,0.6555,0.0153,0.1455,0.0039
cpu,Q5,UP-GDN,3,0.9997,0.0006,0.9995,0.0009,0.9994,0.0010,0.9994,0.0010,0.0002,0.0003
cpu,Q6,Clustered-PMC,3,0.8538,0.0105,0.9997,0.0005,0.5076,0.0355,0.6320,0.0288,0.1462,0.0105
cpu,Q6,UP-GDN,3,0.9998,0.0002,1.0000,0.0000,0.9994,0.0005,0.9997,0.0003,0.0001,0.0001
