profile,family,topology,method,run,seed,accuracy,precision,recall,f1,brier
gpu,hypercube,Q6,UP-GDN,1,4100,0.9998,1.0,0.9995,0.9997,0.0001
gpu,hypercube,Q6,Clustered-PMC,1,4100,0.8492,0.9995,0.4926,0.6196,0.1508
gpu,hypercube,Q6,UP-GDN,2,5102,1.0,1.0,1.0,1.0,0.0
gpu,hypercube,Q6,Clustered-PMC,2,5102,0.8344,0.99,0.4421,0.5834,0.1656
gpu,hypercube,Q6,UP-GDN,3,6104,0.9998,0.9995,1.0,0.9997,0.0002
gpu,hypercube,Q6,Clustered-PMC,3,6104,0.8366,0.999,0.45,0.5848,0.1634
gpu,hypercube,Q8,UP-GDN,1,4106,1.0,1.0,1.0,1.0,0.0
gpu,hypercube,Q8,Clustered-PMC,1,4106,0.8194,1.0,0.3995,0.5218,0.1806
gpu,hypercube,Q8,UP-GDN,2,5108,1.0,1.0,1.0,1.0,0.0
gpu,hypercube,Q8,Clustered-PMC,2,5108,0.8079,1.0,0.3612,0.4913,0.1921
gpu,hypercube,Q8,UP-GDN,3,6110,1.0,0.9999,1.0,0.9999,0.0
gpu,hypercube,Q8,Clustered-PMC,3,6110,0.8027,1.0,0.3439,0.4671,0.1973
gpu,hypercube,Q10,UP-GDN,1,4112,1.0,1.0,1.0,1.0,0.0
gpu,hypercube,Q10,Clustered-PMC,1,4112,0.8024,1.0,0.3408,0.4592,0.1976
gpu,hypercube,Q10,UP-GDN,2,5114,1.0,1.0,1.0,1.0,0.0
gpu,hypercube,Q10,Clustered-PMC,2,5114,0.7868,1.0,0.2888,0.4118,0.2132
gpu,hypercube,Q10,UP-GDN,3,6116,1.0,1.0,1.0,1.0,0.0
gpu,hypercube,Q10,Clustered-PMC,3,6116,0.7938,1.0,0.3121,0.4277,0.2062
gpu,kary,"K(8,2)",UP-GDN,1,4118,0.9988,0.9985,0.9974,0.9979,0.0009
gpu,kary,"K(8,2)",Clustered-PMC,1,4118,0.872,0.9838,0.58,0.7044,0.128
gpu,kary,"K(8,2)",UP-GDN,2,5120,0.9991,1.0,0.9968,0.9984,0.0009
gpu,kary,"K(8,2)",Clustered-PMC,2,5120,0.8797,0.9752,0.6132,0.7266,0.1203
gpu,kary,"K(8,2)",UP-GDN,3,6122,0.9994,1.0,0.9979,0.9989,0.0006
gpu,kary,"K(8,2)",Clustered-PMC,3,6122,0.8894,0.9753,0.6458,0.7556,0.1106
gpu,kary,"K(6,3)",UP-GDN,1,4124,0.9999,0.9998,0.9998,0.9998,0.0001
gpu,kary,"K(6,3)",Clustered-PMC,1,4124,0.8519,0.9975,0.5094,0.6397,0.1481
gpu,kary,"K(6,3)",UP-GDN,2,5126,0.9998,0.9998,0.9994,0.9996,0.0001
gpu,kary,"K(6,3)",Clustered-PMC,2,5126,0.8323,0.9986,0.4429,0.5821,0.1677
gpu,kary,"K(6,3)",UP-GDN,3,6128,0.9999,0.9998,0.9998,0.9998,0.0
gpu,kary,"K(6,3)",Clustered-PMC,3,6128,0.8402,0.9991,0.4694,0.6073,0.1598
gpu,kary,"K(5,4)",UP-GDN,1,4130,1.0,1.0,0.9999,1.0,0.0
gpu,kary,"K(5,4)",Clustered-PMC,1,4130,0.8192,0.9999,0.3989,0.5319,0.1808
gpu,kary,"K(5,4)",UP-GDN,2,5132,1.0,0.9999,0.9999,0.9999,0.0
gpu,kary,"K(5,4)",Clustered-PMC,2,5132,0.8172,1.0,0.3922,0.5256,0.1828
gpu,kary,"K(5,4)",UP-GDN,3,6134,1.0,0.9999,1.0,1.0,0.0
gpu,kary,"K(5,4)",Clustered-PMC,3,6134,0.8007,1.0,0.3376,0.4653,0.1993
gpu,augmented_kary,"AQ(8,2)",UP-GDN,1,4136,1.0,1.0,1.0,1.0,0.0001
