profile,fault_rate,family,topology,method,run,seed,accuracy,precision,recall,f1,brier,ece
gpu,0.1,hypercube,Q10,UP-GDN,1,6300,1.0,1.0,1.0,1.0,0.0018,0.0403
gpu,0.1,hypercube,Q10,Clustered-PMC,1,6300,0.9105,1.0,0.102,0.1748,0.0895,0.0
gpu,0.1,hypercube,Q10,UP-GDN,2,7302,1.0,1.0,1.0,1.0,0.002,0.042
gpu,0.1,hypercube,Q10,Clustered-PMC,2,7302,0.9617,1.0,0.6157,0.749,0.0383,0.0
gpu,0.1,hypercube,Q10,UP-GDN,3,8304,1.0,1.0,1.0,1.0,0.0014,0.0357
gpu,0.1,hypercube,Q10,Clustered-PMC,3,8304,0.9078,1.0,0.0745,0.1358,0.0922,0.0
gpu,0.1,kary,Q4^5,UP-GDN,1,6306,1.0,1.0,1.0,1.0,0.0012,0.0323
gpu,0.1,kary,Q4^5,Clustered-PMC,1,6306,0.9502,1.0,0.5,0.6376,0.0498,0.0
gpu,0.1,kary,Q4^5,UP-GDN,2,7308,0.9998,1.0,0.998,0.999,0.0029,0.0488
gpu,0.1,kary,Q4^5,Clustered-PMC,2,7308,0.932,1.0,0.3176,0.4116,0.068,0.0
gpu,0.1,kary,Q4^5,UP-GDN,3,8310,1.0,1.0,1.0,1.0,0.0019,0.0407
gpu,0.1,kary,Q4^5,Clustered-PMC,3,8310,0.9473,1.0,0.4706,0.5758,0.0527,0.0
gpu,0.1,augmented_kary,"AQ(5,4)",UP-GDN,1,6312,1.0,1.0,1.0,1.0,0.0008,0.027
gpu,0.1,augmented_kary,"AQ(5,4)",Clustered-PMC,1,6312,0.9049,0.8,0.0451,0.08,0.0951,0.0
gpu,0.1,augmented_kary,"AQ(5,4)",UP-GDN,2,7314,1.0,1.0,1.0,1.0,0.0114,0.1013
gpu,0.1,augmented_kary,"AQ(5,4)",Clustered-PMC,2,7314,0.9145,1.0,0.1412,0.2157,0.0855,0.0
gpu,0.1,augmented_kary,"AQ(5,4)",UP-GDN,3,8316,1.0,1.0,1.0,1.0,0.0015,0.0362
gpu,0.1,augmented_kary,"AQ(5,4)",Clustered-PMC,3,8316,0.917,1.0,0.1667,0.2463,0.083,0.0
gpu,0.15,hypercube,Q10,UP-GDN,1,6368,0.9502,1.0,0.6688,0.8016,0.0388,0.0966
gpu,0.15,hypercube,Q10,Clustered-PMC,1,6368,0.8967,1.0,0.313,0.4241,0.1033,0.0
gpu,0.15,hypercube,Q10,UP-GDN,2,7370,0.9502,1.0,0.6688,0.8016,0.0333,0.1126
gpu,0.15,hypercube,Q10,Clustered-PMC,2,7370,0.9398,1.0,0.6,0.7166,0.0602,0.0
gpu,0.15,hypercube,Q10,UP-GDN,3,8372,0.9502,1.0,0.6688,0.8016,0.0391,0.0956
gpu,0.15,hypercube,Q10,Clustered-PMC,3,8372,0.8803,1.0,0.2039,0.2934,0.1197,0.0
gpu,0.15,kary,Q4^5,UP-GDN,1,6374,0.9502,1.0,0.6688,0.8016,0.0425,0.1069
gpu,0.15,kary,Q4^5,Clustered-PMC,1,6374,0.8953,1.0,0.3039,0.4263,0.1047,0.0
gpu,0.15,kary,Q4^5,UP-GDN,2,7376,0.9502,1.0,0.6688,0.8016,0.0318,0.0855
gpu,0.15,kary,Q4^5,Clustered-PMC,2,7376,0.898,1.0,0.3221,0.4291,0.102,0.0
gpu,0.15,kary,Q4^5,UP-GDN,3,8378,0.9502,1.0,0.6688,0.8016,0.036,0.0974
gpu,0.15,kary,Q4^5,Clustered-PMC,3,8378,0.8773,1.0,0.1844,0.2945,0.1227,0.0
gpu,0.15,augmented_kary,"AQ(5,4)",UP-GDN,1,6380,0.9502,1.0,0.6688,0.8016,0.0343,0.1092
gpu,0.15,augmented_kary,"AQ(5,4)",Clustered-PMC,1,6380,0.8617,0.8,0.0805,0.1324,0.1383,0.0
gpu,0.15,augmented_kary,"AQ(5,4)",UP-GDN,2,7382,0.9502,1.0,0.6688,0.8016,0.0355,0.1059
gpu,0.15,augmented_kary,"AQ(5,4)",Clustered-PMC,2,7382,0.8727,0.8,0.1532,0.2292,0.1273,0.0
gpu,0.15,augmented_kary,"AQ(5,4)",UP-GDN,3,8384,0.9502,1.0,0.6688,0.8016,0.0412,0.1063
gpu,0.15,augmented_kary,"AQ(5,4)",Clustered-PMC,3,8384,0.8625,1.0,0.0857,0.1485,0.1375,0.0
gpu,0.2,hypercube,Q10,UP-GDN,1,6436,0.9139,1.0,0.5698,0.7184,0.0535,0.1564
gpu,0.2,hypercube,Q10,Clustered-PMC,1,6436,0.8676,1.0,0.3385,0.4007,0.1324,0.0
gpu,0.2,hypercube,Q10,UP-GDN,2,7438,0.9154,1.0,0.5776,0.7282,0.0514,0.1428
gpu,0.2,hypercube,Q10,Clustered-PMC,2,7438,0.8639,1.0,0.32,0.4296,0.1361,0.0
