profile,fault_rate,method,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std
gpu,0.1,Clustered-PMC,9,0.9268,0.0070,0.9356,0.0959,0.2656,0.0700,0.3631,0.0933,0.0732,0.0070,0.0000,0.0000
gpu,0.1,UP-GDN,9,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.15,Clustered-PMC,9,0.8855,0.0123,0.9533,0.0707,0.2384,0.0818,0.3289,0.1031,0.1145,0.0123,0.0000,0.0000
gpu,0.15,UP-GDN,9,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.2,Clustered-PMC,9,0.8534,0.0164,0.9822,0.0277,0.2679,0.0820,0.3686,0.1024,0.1466,0.0164,0.0000,0.0000
gpu,0.2,UP-GDN,9,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.25,Clustered-PMC,9,0.8073,0.0200,0.9844,0.0255,0.2291,0.0801,0.3263,0.1052,0.1927,0.0200,0.0000,0.0000
gpu,0.25,UP-GDN,9,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.3,Clustered-PMC,9,0.7748,0.0257,0.9867,0.0265,0.2486,0.0856,0.3496,0.1132,0.2252,0.0257,0.0000,0.0000
gpu,0.3,UP-GDN,9,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.35,Clustered-PMC,9,0.7356,0.0300,0.9943,0.0101,0.2438,0.0859,0.3450,0.1094,0.2644,0.0300,0.0000,0.0000
gpu,0.35,UP-GDN,9,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.4,Clustered-PMC,9,0.6949,0.0323,0.9977,0.0043,0.2380,0.0806,0.3398,0.1090,0.3051,0.0323,0.0000,0.0000
gpu,0.4,UP-GDN,9,1.0000,0.0000,1.0000,0.0000,1.0000,0.0001,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.45,Clustered-PMC,9,0.6618,0.0419,0.9952,0.0071,0.2489,0.0931,0.3528,0.1182,0.3382,0.0419,0.0000,0.0000
gpu,0.45,UP-GDN,9,0.9999,0.0000,0.9999,0.0001,0.9999,0.0001,0.9999,0.0000,0.0001,0.0001,0.0001,0.0001
gpu,0.5,Clustered-PMC,9,0.6193,0.0432,0.9959,0.0067,0.2389,0.0866,0.3436,0.1151,0.3807,0.0432,0.0000,0.0000
gpu,0.5,UP-GDN,9,0.9998,0.0002,0.9998,0.0001,0.9998,0.0002,0.9998,0.0002,0.0001,0.0001,0.0002,0.0002
