profile,fault_rate,topology,method,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std
gpu,0.1,"AQ(5,4)",Clustered-PMC,3,0.9178,0.0025,0.8100,0.0361,0.1751,0.0253,0.2412,0.0265,0.0822,0.0025,0.0000,0.0000
gpu,0.1,"AQ(5,4)",UP-GDN,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.1,Q10,Clustered-PMC,3,0.9307,0.0019,1.0000,0.0000,0.3042,0.0191,0.4179,0.0240,0.0693,0.0019,0.0000,0.0000
gpu,0.1,Q10,UP-GDN,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.1,Q4^5,Clustered-PMC,3,0.9320,0.0006,0.9967,0.0058,0.3176,0.0061,0.4301,0.0046,0.0680,0.0006,0.0000,0.0000
gpu,0.1,Q4^5,UP-GDN,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.15,"AQ(5,4)",Clustered-PMC,3,0.8698,0.0018,0.8600,0.0200,0.1341,0.0121,0.1961,0.0099,0.1302,0.0018,0.0000,0.0000
gpu,0.15,"AQ(5,4)",UP-GDN,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.15,Q10,Clustered-PMC,3,0.8935,0.0063,1.0000,0.0000,0.2919,0.0418,0.3960,0.0464,0.1065,0.0063,0.0000,0.0000
gpu,0.15,Q10,UP-GDN,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.15,Q4^5,Clustered-PMC,3,0.8931,0.0031,1.0000,0.0000,0.2891,0.0206,0.3947,0.0235,0.1069,0.0031,0.0000,0.0000
gpu,0.15,Q4^5,UP-GDN,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.2,"AQ(5,4)",Clustered-PMC,3,0.8326,0.0010,0.9467,0.0153,0.1639,0.0051,0.2369,0.0084,0.1674,0.0010,0.0000,0.0000
gpu,0.2,"AQ(5,4)",UP-GDN,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.2,Q10,Clustered-PMC,3,0.8642,0.0061,1.0000,0.0001,0.3216,0.0307,0.4331,0.0282,0.1358,0.0061,0.0000,0.0000
gpu,0.2,Q10,UP-GDN,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.2,Q4^5,Clustered-PMC,3,0.8635,0.0081,1.0000,0.0000,0.3181,0.0403,0.4359,0.0452,0.1365,0.0081,0.0000,0.0000
