epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6985368473189217,gat,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.703125,0.0,0.0,0.0,0.21504689645186303,0.12159062628168613,0.9668421052631578,0.703125,0.0,0.0,0.0,0.21504689645186303,0.12159062628168613,0.9668421052631578,0.0,0.0,0.0
5,0.49483602387564524,gat,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.70921875,0.2,0.02052631578947368,0.036326839826839825,0.13949467671942312,0.31027057048166173,0.9726315789473685,0.95828125,0.997297213622291,0.8615789473684211,0.9144879582032404,0.054053904748819666,0.16980312439403192,0.9826315789473685,0.9089495385643658,0.997297213622291,0.0027027863777089782
10,0.1720721083027976,gat,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.971875,0.9896363636363636,0.9157894736842106,0.9469388346141667,0.030996988215653064,0.09411295323032391,0.9763157894736842,0.995625,0.995406752174554,0.99,0.9925118174855017,0.010611576737130873,0.05203648187170553,0.9915789473684211,0.1578957708957709,0.6102380952380952,0.029761904761904757
15,0.06336682662367821,gat,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.9921875,0.9910787195260881,0.9831578947368419,0.9866611951114329,0.008195549502352035,0.03446214111554582,0.9921052631578948,0.9990625,0.9969999999999999,1.0,0.9984615384615384,0.0017625623942969636,0.016190287317835915,0.9984210526315789,0.055896825396825396,0.33,0.0
20,0.03299728887421744,gat,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99578125,0.991060985797828,0.9952631578947367,0.9929771492139912,0.004353844309732215,0.018708815263080394,0.9942105263157895,0.9990625,0.9969999999999999,1.0,0.9984615384615384,0.0010024744491310368,0.007671310705379494,0.9984210526315789,0.027123015873015875,0.17,0.0
25,0.02013826011014836,gat,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99609375,0.9929806870116467,0.9942105263157893,0.9934193991562412,0.003468405319408289,0.012352592106491613,0.9947368421052631,0.99890625,0.9969736842105263,0.9994736842105263,0.9981916329284749,0.0010546659587207536,0.0046986058097803,0.9978947368421052,0.025238095238095237,0.15,0.01
30,0.016768767099295343,gat,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.9965625,0.9916165413533835,0.9973684210526315,0.9943285005653426,0.002720605697823116,0.009636068207783524,0.9957894736842104,0.99890625,0.9969736842105263,0.9994736842105263,0.9981916329284749,0.0009502297733526983,0.0036791218009906475,0.9984210526315789,0.0225,0.14,0.01
35,0.015185743570327759,gat,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.9971875,0.9935213032581452,0.9973684210526315,0.9953285005653427,0.0025231695525012904,0.007812807186983548,0.9957894736842104,0.99875,0.9964736842105263,0.9994736842105263,0.9979352226720647,0.0010529160144604618,0.002850757521442599,0.9984210526315789,0.016964285714285713,0.11,0.01
40,0.01572098257020116,gat,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.9971875,0.9930689223057644,0.9978947368421052,0.9953551810920231,0.002240708674816085,0.006770625722930392,0.9963157894736842,0.99875,0.9969736842105263,0.9989473684210526,0.9979213626582047,0.0009726147377819315,0.0026960633951263447,0.9984210526315789,0.019285714285714285,0.11,0.02
45,0.0096024275158665,gat,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99703125,0.9925952380952381,0.9978947368421052,0.995098406098406,0.002521839177693078,0.006318160250242784,0.9963157894736842,0.99875,0.9964736842105263,0.9994736842105263,0.9979352226720648,0.0010238314087797813,0.0022035208086643074,0.9984210526315789,0.01767857142857143,0.11,0.01
50,0.013141423330775328,gat,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99734375,0.9930689223057644,0.9984210526315789,0.9956254513622934,0.0019702656049615103,0.005432913546047047,0.9968421052631578,0.9990625,0.9974736842105263,0.9994736842105263,0.9984480431848854,0.0007989064802721084,0.0021442641685259513,0.9984210526315789,0.017857142857142856,0.11,0.01
55,0.009053546802273818,gat,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99765625,0.9939736842105262,0.9984210526315789,0.996112630849473,0.001839692326775087,0.004919515155490365,0.9968421052631578,0.9990625,0.9979736842105262,0.9989473684210526,0.9984341831710253,0.0006886389153878701,0.0019385199312894532,0.9989473684210526,0.017857142857142856,0.1,0.02
60,0.00824800509560321,gat,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99765625,0.9930952380952381,0.9994736842105263,0.9961656271656273,0.0018372782918561305,0.004639139165119063,0.9973684210526315,0.9990625,0.9974736842105263,0.9994736842105263,0.9984480431848854,0.0007675669874330058,0.001768947150311151,0.9984210526315789,0.015178571428571428,0.09,0.01
