epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6412354792867389,gcn,full,augmented_kary_n2_k8_run2_train,augmented_kary_n2_k8_run2_test,0.703125,0.0,0.0,0.0,0.19377958622019317,0.028053365922532977,0.9873684210526315,0.8121875,0.9985714285714287,0.36789473684210533,0.5376923076923077,0.148549845338616,0.09854477282147854,0.9873684210526315,1.0,0.9985714285714287,0.0014285714285714286
5,0.4334329068660736,gcn,full,augmented_kary_n2_k8_run2_train,augmented_kary_n2_k8_run2_test,0.84203125,0.9177419210734226,0.5226315789473684,0.6360248979251217,0.11609027357240191,0.20698915688262787,0.8599999999999998,0.97515625,0.9821430626477067,0.9347368421052632,0.9549563182529277,0.03840183256936478,0.11180422936867773,0.9563157894736842,0.41301654427333984,0.9925521978021979,0.007447802197802197
10,0.22791231104305812,gcn,full,augmented_kary_n2_k8_run2_train,augmented_kary_n2_k8_run2_test,0.96875,0.9483605296227081,0.9521052631578948,0.9459387744350795,0.04221252082243925,0.1445141188321577,0.9784210526315789,0.9953125,0.9862857142857142,0.9989473684210526,0.9923568953568953,0.019358824291588327,0.09599704116802689,0.9957894736842106,0.16139189895072248,0.7302380952380951,0.019761904761904762
15,0.07900607692343849,gcn,full,augmented_kary_n2_k8_run2_train,augmented_kary_n2_k8_run2_test,0.99578125,0.9959736842105263,0.99,0.9926885280136055,0.008832636526745445,0.05262464802173781,0.9968421052631578,0.99875,0.9970476190476191,0.9989473684210526,0.9979338184338183,0.003460445589694256,0.033100348460466666,0.9994736842105263,0.03057215007215007,0.17,0.02
20,0.03483844202544008,gcn,full,augmented_kary_n2_k8_run2_train,augmented_kary_n2_k8_run2_test,0.9978125,0.997,0.9957894736842106,0.9962530442530442,0.003523483290612241,0.022854766100044797,0.9984210526315789,0.999375,0.9990000000000001,0.9989473684210526,0.9989466389466389,0.0010290248630667354,0.012259894726498717,0.9989473684210526,0.018432539682539682,0.1,0.02
25,0.02130328571157796,gcn,full,augmented_kary_n2_k8_run2_train,augmented_kary_n2_k8_run2_test,0.998125,0.997,0.9968421052631578,0.9967935847935848,0.0023159317125213937,0.014040844036571798,0.9989473684210526,0.99953125,0.9995,0.9989473684210526,0.9992030492030491,0.0005902113556956713,0.0062241453875280265,0.9994736842105263,0.015,0.08,0.01
30,0.019303120938794955,gcn,full,augmented_kary_n2_k8_run2_train,augmented_kary_n2_k8_run2_test,0.998125,0.9975,0.9963157894736842,0.9967647097647098,0.0018020368148375366,0.00967687980932169,0.9989473684210526,0.99953125,0.9995,0.9989473684210526,0.9992030492030491,0.0004997412005026608,0.003960681981164855,0.9994736842105263,0.014861111111111111,0.08,0.01
35,0.010745329250182425,gcn,full,augmented_kary_n2_k8_run2_train,augmented_kary_n2_k8_run2_test,0.99828125,0.9985,0.9957894736842106,0.99700726000726,0.0017932197131836421,0.007326360070278497,0.9989473684210526,0.99953125,0.9995,0.9989473684210526,0.9992030492030491,0.00047658290925429834,0.0026840155683526294,0.9994736842105263,0.013571428571428573,0.07,0.01
40,0.01057952722268445,gcn,full,augmented_kary_n2_k8_run2_train,augmented_kary_n2_k8_run2_test,0.99796875,0.997,0.9963157894736842,0.9965082995082994,0.0014252929761579233,0.00566033785286436,0.9989473684210526,0.9996875,0.9995,0.9994736842105263,0.9994733194733194,0.000311678898463056,0.0018717527668100959,0.9994736842105263,0.014325396825396826,0.09,0.0
45,0.009929123667201825,gcn,full,augmented_kary_n2_k8_run2_train,augmented_kary_n2_k8_run2_test,0.9984375,0.997,0.9978947368421052,0.9973341253341255,0.0012886510739461745,0.005054037734452095,0.9989473684210526,0.9996875,0.9995,0.9994736842105263,0.9994733194733194,0.0002969513506196509,0.001525076951442095,0.9994736842105263,0.010357142857142856,0.06,0.0
50,0.006724622034068618,gcn,full,augmented_kary_n2_k8_run2_train,augmented_kary_n2_k8_run2_test,0.99875,0.9975,0.9984210526315789,0.9978921228921229,0.0011875127561027695,0.004503910864876844,0.9989473684210526,0.9996875,0.9995,0.9994736842105263,0.9994733194733194,0.00030205385323032926,0.0013467878624445198,0.9994736842105263,0.007857142857142856,0.05,0.0
55,0.006457687588408589,gcn,full,augmented_kary_n2_k8_run2_train,augmented_kary_n2_k8_run2_test,0.99859375,0.9975,0.9978947368421052,0.9976068376068378,0.0011218209042865562,0.0038411569090533258,0.9994736842105263,0.9996875,0.9995,0.9994736842105263,0.9994733194733194,0.00029361950110673343,0.0011205124956075994,0.9994736842105263,0.00878968253968254,0.06,0.0
60,0.007648317342890161,gcn,full,augmented_kary_n2_k8_run2_train,augmented_kary_n2_k8_run2_test,0.99859375,0.9975,0.9978947368421052,0.9976068376068378,0.0010799906611579774,0.003408221353548128,0.9994736842105263,0.9996875,0.9995,0.9994736842105263,0.9994733194733194,0.00030123116500863274,0.0010091390968978973,0.9994736842105263,0.00878968253968254,0.06,0.0
