epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6460748144558498,gat,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.703125,0.0,0.0,0.0,0.18930884233546302,0.10775366470683366,0.9868421052631579,0.850625,0.9969047619047618,0.4984210526315789,0.6525880125265879,0.13593836001951545,0.14504997918382287,0.9868421052631579,1.0,0.9969047619047618,0.0030952380952380953
5,0.40094333035605295,gat,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.8840625,0.9426181197591987,0.6626315789473685,0.7314939583124728,0.10156563840805323,0.23155832362361253,0.9205263157894737,0.988125,0.9844166409785603,0.9763157894736842,0.9795771248800774,0.03490511245451205,0.12727940934710857,0.9773684210526316,0.34601832409375816,0.9403401459651459,0.009659854034854035
10,0.1545021108218602,gat,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.96890625,0.9535132666345784,0.9457894736842105,0.9462704323010958,0.028797560763287926,0.09252110531408107,0.9742105263157896,0.99515625,0.9847792207792208,1.0,0.9921272670419014,0.009790846992113625,0.05238427289077378,0.985263157894737,0.17223615273615273,0.76,0.0
15,0.059113286435604095,gat,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.98734375,0.9727501609755613,0.9868421052631579,0.9790727332376883,0.010163368732870852,0.03346211780193698,0.9926315789473685,0.99796875,0.9939736842105263,0.9994736842105263,0.9966531713900134,0.0022999077927739623,0.015036107938476968,0.9957894736842106,0.08900396825396825,0.49,0.01
20,0.027650211538587297,gat,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.994375,0.9933947368421053,0.9878947368421052,0.9904207243680928,0.004322888833009102,0.017196328004383758,0.9968421052631578,0.9996875,0.9990000000000001,1.0,0.9994871794871796,0.00036909116002539614,0.006347108640841345,1.0,0.04494047619047618,0.27,0.0
25,0.02116522698530129,gat,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99578125,0.9949210526315792,0.9910526315789474,0.9927973520078784,0.0033696915696447504,0.010387566846968073,0.9968421052631578,0.99984375,0.9995,1.0,0.9997435897435898,0.00022625096775997228,0.003077069151624996,1.0,0.03507936507936507,0.21,0.0
30,0.01672695324357067,gat,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99640625,0.9969473684210527,0.9910526315789474,0.9938226282963126,0.002776043638384225,0.008655154637928035,0.9984210526315789,0.99984375,0.9995,1.0,0.9997435897435898,0.00014056581724609436,0.002346102403795065,1.0,0.03,0.18,0.0
35,0.013476319344980376,gat,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.996875,0.9954473684210526,0.9942105263157895,0.9946900341637184,0.0021509667321387054,0.007215725713819552,0.9984210526315789,0.99984375,0.9995,1.0,0.9997435897435898,0.00014336455003061897,0.001869085123337311,1.0,0.02561507936507936,0.16,0.0
40,0.010851466030414616,gat,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9975,0.9989736842105263,0.9926315789473685,0.9956587153955576,0.0021441229025000903,0.005798445613466329,0.9984210526315789,0.99984375,0.9995,1.0,0.9997435897435898,6.009056238579502e-05,0.0011618497911204295,1.0,0.02142857142857143,0.12,0.0
45,0.011315126903355122,gat,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99671875,0.9925213032581454,0.9968421052631578,0.9945303947672369,0.0023583497153741037,0.005884800033150978,0.9984210526315789,0.99984375,0.9995,1.0,0.9997435897435898,0.00014788352053780876,0.0010968421484430927,1.0,0.02736111111111111,0.18,0.0
50,0.007891741315168994,gat,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99765625,0.9989736842105263,0.9931578947368422,0.9959440006808429,0.001795189102286906,0.0045955638831001264,0.9994736842105263,0.99984375,0.9995,1.0,0.9997435897435898,4.2249600249309975e-05,0.0008197272953382463,1.0,0.019642857142857142,0.12,0.0
55,0.0051829708307715395,gat,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99765625,0.9989736842105263,0.9931578947368422,0.9959289856658279,0.00174121043640174,0.003779252530614058,0.9994736842105263,0.99984375,0.9995,1.0,0.9997435897435898,7.487863981535964e-05,0.0005607192347301261,1.0,0.019107142857142857,0.11,0.0
60,0.006832570403016039,gat,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9978125,0.9989736842105263,0.993684210526316,0.996214270951113,0.0015875759216344046,0.0035874115664204704,0.9994736842105263,0.99984375,0.9995,1.0,0.9997435897435898,5.921430453167667e-05,0.0005597166981408803,1.0,0.01839285714285714,0.11,0.0
