epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6666423337800162,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.703125,0.0,0.0,0.0,0.19833096902553052,0.05975182427093387,0.9763157894736841,0.8115625,0.9957142857142857,0.36684210526315797,0.5361538461538461,0.1574335329246771,0.12710192772094162,0.9763157894736841,1.0,0.9957142857142857,0.004285714285714285
5,0.41874626704624723,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.84171875,0.9282501712291389,0.5126315789473683,0.5996655156592829,0.11170495169702618,0.22096981211565436,0.8889473684210526,0.97171875,0.9777606756418676,0.9257894736842105,0.9483957424923277,0.03746986005630265,0.10865245360073615,0.9573684210526316,0.4582212097100339,0.9791495587745588,0.02085044122544123
10,0.2251536569425038,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9353125,0.9039898440606072,0.8878947368421052,0.8856741819085748,0.05526073459979546,0.12249317708176022,0.9278947368421052,0.98359375,0.9589211847140908,0.9894736842105263,0.9732479500053312,0.022119684192556208,0.06976474470665124,0.9726315789473684,0.28489470904912084,0.9387103174603175,0.011289682539682539
15,0.1028759064418929,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.991875,0.9866268478683338,0.9868421052631579,0.9862278935045303,0.014245232067970294,0.07234791334609326,0.9952631578947368,0.999375,0.9990000000000001,0.9989473684210526,0.9989466389466389,0.0049164869277756075,0.04495737852373779,0.9989473684210526,0.056271645021645014,0.32,0.01
20,0.048010983637401035,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99640625,0.9974736842105263,0.9905263157894737,0.9938234185602607,0.005317359276464472,0.032013972422482766,0.9973684210526315,0.999375,0.9990000000000001,0.9989473684210526,0.9989466389466389,0.0013617225480291077,0.017067745151060174,0.9994736842105263,0.02937301587301587,0.2,0.02
25,0.026973423414996693,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9971875,0.9964736842105263,0.9942105263157895,0.9952024899393321,0.00312932093566669,0.01887164021497483,0.9984210526315789,0.9996875,1.0,0.9989473684210526,0.9994594594594594,0.0006291077114147117,0.008444233574976036,0.9994736842105263,0.024107142857142855,0.15,0.01
30,0.02042804206056254,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99734375,0.9969736842105263,0.9942105263157895,0.9954589001957423,0.0024203182826433613,0.012634870595193207,0.9984210526315789,0.9996875,1.0,0.9989473684210526,0.9994594594594594,0.0005004293084615311,0.0049222310614642694,1.0,0.023035714285714284,0.14,0.01
35,0.015026074168937547,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99734375,0.9969736842105263,0.9942105263157895,0.9954589001957423,0.0021320089650242197,0.009419187859440398,0.9984210526315789,0.99953125,0.9995,0.9989473684210526,0.9992030492030491,0.00045638274151113675,0.003242812539734073,1.0,0.021607142857142856,0.14,0.01
40,0.012307821240808283,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99765625,0.9964736842105263,0.9957894736842107,0.9960283157651579,0.0018751932253332267,0.007807163022409896,0.9984210526315789,0.99953125,0.9995,0.9989473684210526,0.9992030492030491,0.00043575415432552567,0.002479802035043945,1.0,0.019285714285714285,0.13,0.01
45,0.011783329237784659,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9978125,0.9964736842105263,0.9963157894736843,0.9963136010504432,0.001817470290527237,0.006645539258591954,0.9984210526315789,0.9996875,0.9995,0.9994736842105263,0.9994733194733194,0.00031593160691390545,0.001738598533337087,1.0,0.019146825396825395,0.13,0.01
50,0.008903052125658308,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9978125,0.9964736842105263,0.9963157894736843,0.9963136010504432,0.0017658518122303064,0.005652334841189485,0.9984210526315789,0.99953125,0.9990000000000001,0.9994736842105263,0.9992169092169092,0.000326098597926163,0.0013844487479494746,1.0,0.017718253968253966,0.12,0.01
55,0.006972260074689984,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9978125,0.9964736842105263,0.9963157894736843,0.9963136010504432,0.0017083656598044922,0.005036417610702699,0.9984210526315789,0.99953125,0.9990000000000001,0.9994736842105263,0.9992169092169092,0.00033010326781193636,0.001115973049515669,1.0,0.017857142857142856,0.12,0.01
60,0.007594047846006495,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9978125,0.9964736842105263,0.9963157894736843,0.9963136010504432,0.0016444710742436997,0.00461636600285587,0.9984210526315789,0.9996875,0.9995,0.9994736842105263,0.9994733194733194,0.00031742838186205914,0.0009735587655322231,1.0,0.019464285714285715,0.13,0.01
