epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6666462080819267,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.703125,0.0,0.0,0.0,0.19833481254866328,0.059747835248708726,0.9763157894736841,0.8115625,0.9957142857142857,0.36684210526315797,0.5361538461538461,0.15743589944424735,0.12709915305022151,0.9763157894736841,1.0,0.9957142857142857,0.004285714285714285
5,0.4186691343784332,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.84171875,0.9282501712291389,0.5126315789473683,0.5994450901577479,0.11152137487535231,0.22135694268974476,0.89,0.971875,0.9783162311974232,0.9257894736842105,0.9486509977475829,0.037449383123598544,0.10887110632565317,0.9578947368421054,0.45905199880398095,0.9791495587745588,0.02085044122544123
10,0.22499845921993256,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9353125,0.904334046959158,0.8873684210526315,0.8854759895033307,0.055210406088162856,0.12238578692089504,0.9278947368421052,0.98359375,0.9589211847140908,0.9894736842105263,0.9732479500053312,0.022146024641649595,0.06955302187943947,0.9726315789473684,0.2856941457235575,0.9387103174603175,0.011289682539682539
15,0.1028446416769709,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.991875,0.9866268478683338,0.9868421052631579,0.9862278935045303,0.01423089947661359,0.07230886061432101,0.9952631578947368,0.999375,0.9990000000000001,0.9989473684210526,0.9989466389466389,0.0049142450363618695,0.04492764519440471,0.9989473684210526,0.056271645021645014,0.32,0.01
20,0.04806291790945189,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99640625,0.9974736842105263,0.9905263157894737,0.9938234185602607,0.00533285668709662,0.03203535217651734,0.9973684210526315,0.999375,0.9990000000000001,0.9989473684210526,0.9989466389466389,0.001368945989278734,0.01708407931144276,0.9994736842105263,0.02937301587301587,0.2,0.02
25,0.026975126138755252,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99703125,0.9964736842105263,0.993684210526316,0.9949322196690618,0.003133183734757221,0.01888729347464505,0.9984210526315789,0.9996875,1.0,0.9989473684210526,0.9994594594594594,0.0006298671722695149,0.008449100145929409,0.9994736842105263,0.025357142857142856,0.16,0.01
30,0.020444485491939952,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99734375,0.9969736842105263,0.9942105263157895,0.9954589001957423,0.0024229900439577496,0.012645096932360503,0.9984210526315789,0.9996875,1.0,0.9989473684210526,0.9994594594594594,0.0005010042933412787,0.004929580962482535,1.0,0.023035714285714284,0.14,0.01
35,0.01506104666207518,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99734375,0.9969736842105263,0.9942105263157895,0.9954589001957423,0.0021346880406762398,0.009434881683355344,0.9984210526315789,0.99953125,0.9995,0.9989473684210526,0.9992030492030491,0.00045646817052024974,0.003255241060432994,1.0,0.021607142857142856,0.14,0.01
40,0.012335371891302722,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99765625,0.9964736842105263,0.9957894736842107,0.9960283157651579,0.0018774824279044974,0.007827011128370032,0.9984210526315789,0.99953125,0.9995,0.9989473684210526,0.9992030492030491,0.0004360922584813127,0.002486328191664275,1.0,0.019285714285714285,0.13,0.01
45,0.011844354681670666,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9978125,0.9964736842105263,0.9963157894736843,0.9963136010504432,0.0018240911265478843,0.006633360540517969,0.9984210526315789,0.999375,0.9990000000000001,0.9989473684210526,0.9989466389466389,0.0004550233014677105,0.0018586882927217221,1.0,0.01646825396825397,0.11,0.01
50,0.008934906949954373,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9978125,0.9964736842105263,0.9963157894736843,0.9963136010504432,0.0017715300921000313,0.005662770470762554,0.9984210526315789,0.99953125,0.9990000000000001,0.9994736842105263,0.9992169092169092,0.00032823778052449806,0.0013905634557365026,1.0,0.017718253968253966,0.12,0.01
55,0.0070196534506976604,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9978125,0.9964736842105263,0.9963157894736843,0.9963136010504432,0.0017159569279325123,0.005064096879556813,0.9984210526315789,0.99953125,0.9990000000000001,0.9994736842105263,0.9992169092169092,0.00033294408479915544,0.0011264793949516889,1.0,0.017857142857142856,0.12,0.01
60,0.007645709573158196,gcn,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9978125,0.9964736842105263,0.9963157894736843,0.9963136010504432,0.0016486124719556233,0.004627968408045433,0.9984210526315789,0.99953125,0.9990000000000001,0.9994736842105263,0.9992169092169092,0.0003187312300288826,0.000979549583715745,1.0,0.018035714285714283,0.12,0.01
