epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6764946750232151,gat,full,kary_n2_k8_run1_train,kary_n2_k8_run1_test,0.703125,0.0,0.0,0.0,0.20618661019765663,0.27298933422192934,0.8973684210526316,0.89,1.0,0.6294736842105263,0.7656992130181949,0.10889587816051118,0.21393009083524045,0.9678947368421053,0.3384251948407856,1.0,0.0
5,0.5010796998228345,gat,full,kary_n2_k8_run1_train,kary_n2_k8_run1_test,0.7075,0.23633333333333334,0.02157894736842105,0.03819427818558254,0.14590933911908954,0.26135881880181844,0.8631578947368422,0.93171875,0.972461391549627,0.791578947368421,0.8642960467848497,0.06835849243495992,0.15633825654744332,0.9221052631578947,0.8282655480495638,0.9791914335664336,0.020808566433566433
10,0.24307318031787872,gat,full,kary_n2_k8_run1_train,kary_n2_k8_run1_test,0.9315625,0.8841377104861455,0.8978947368421052,0.8843037716756571,0.057921916932959935,0.11340546411192917,0.9042105263157895,0.9690625,0.9248492243454486,0.9805263157894737,0.9503467728245022,0.03193618845612084,0.07369946994082736,0.944736842105263,0.2552605180766945,0.8817142857142858,0.07828571428571428
15,0.10870156756469182,gat,full,kary_n2_k8_run1_train,kary_n2_k8_run1_test,0.97109375,0.9450041952707856,0.9626315789473685,0.9518270805156382,0.022707176613165934,0.06175126606089179,0.9694736842105263,0.99015625,0.9774309414355855,0.9910526315789474,0.983772029311824,0.009849826803745269,0.03420091197568032,0.9873684210526315,0.16865476190476186,0.6960714285714286,0.06392857142857143
20,0.05497416853904724,gat,full,kary_n2_k8_run1_train,kary_n2_k8_run1_test,0.985625,0.975381170317097,0.9773684210526316,0.9756660591799909,0.011331907334596554,0.033482815178552984,0.9857894736842104,0.995,0.9890018607123869,0.9947368421052633,0.9916948893200497,0.004583047539343561,0.01642328467397722,0.9931578947368422,0.0951197691197691,0.4591666666666667,0.04083333333333333
25,0.03735697375876563,gat,full,kary_n2_k8_run1_train,kary_n2_k8_run1_test,0.9896875,0.9786997702589809,0.9878947368421052,0.9827813159306429,0.007740498597277396,0.023497108292656606,0.99,0.99609375,0.9907077922077921,0.9968421052631578,0.9935685929832271,0.003211887845875711,0.010845829263431712,0.9952631578947367,0.06787698412698412,0.35133333333333333,0.03866666666666667
30,0.029841016179748943,gat,full,kary_n2_k8_run1_train,kary_n2_k8_run1_test,0.99234375,0.9876213541099124,0.9873684210526315,0.9870846372688475,0.005848755825772691,0.017643053852899264,0.9915789473684211,0.99765625,0.9955476190476189,0.9968421052631578,0.9960684915684915,0.0022892615300077316,0.008056772901482337,0.9968421052631578,0.048591269841269845,0.2866666666666666,0.013333333333333332
35,0.023064860009721348,gat,full,kary_n2_k8_run1_train,kary_n2_k8_run1_test,0.9934375,0.9891476698993862,0.9894736842105263,0.9889659014132698,0.005019688785599813,0.013746422922298631,0.9926315789473685,0.9975,0.995047619047619,0.9968421052631578,0.9958270963270963,0.0021655973382037294,0.006125789891972355,0.9968421052631578,0.039718253968253965,0.22666666666666666,0.013333333333333332
40,0.021105626598000526,gat,full,kary_n2_k8_run1_train,kary_n2_k8_run1_test,0.99453125,0.9910757955494798,0.9910526315789474,0.9907809021692203,0.004360827295519908,0.01140186378150828,0.9931578947368422,0.99734375,0.995047619047619,0.9963157894736842,0.9955418110418109,0.002072007310912576,0.005660370516542496,0.9978947368421052,0.030896825396825395,0.17666666666666667,0.023333333333333334
45,0.016565332455294474,gat,full,kary_n2_k8_run1_train,kary_n2_k8_run1_test,0.995625,0.9915757955494797,0.9942105263157895,0.9927052660935842,0.00376787321027218,0.009842593188415006,0.9952631578947368,0.99734375,0.995047619047619,0.9963157894736843,0.9955418110418112,0.002023318899191886,0.004908220368091906,0.9984210526315789,0.024265873015873015,0.13,0.03
50,0.014633804027523314,gat,full,kary_n2_k8_run1_train,kary_n2_k8_run1_test,0.9959375,0.9925133667502088,0.9942105263157895,0.993193018929861,0.0035451787770206366,0.008567939846704549,0.9952631578947368,0.99734375,0.995047619047619,0.9963157894736843,0.9955418110418112,0.0019556839496175497,0.004365856371740255,0.9989473684210526,0.02183333333333333,0.115,0.035
55,0.014946600222694022,gat,full,kary_n2_k8_run1_train,kary_n2_k8_run1_test,0.99640625,0.9925426065162907,0.9957894736842104,0.9940180544917386,0.0030186255414600747,0.0078936274246282,0.9973684210526315,0.9975,0.9951363636363635,0.9968421052631578,0.9958517992664333,0.0017315348510439355,0.004003594005494757,0.9989473684210526,0.02021825396825397,0.1,0.04
60,0.01246407295444182,gat,full,kary_n2_k8_run1_train,kary_n2_k8_run1_test,0.99640625,0.9925426065162907,0.9957894736842104,0.9940180544917386,0.002793075346362481,0.007074092360038633,0.9973684210526315,0.9978125,0.9960476190476188,0.9968421052631578,0.9963399168399169,0.001641811937695572,0.003826116826617396,0.9989473684210526,0.022083333333333333,0.115,0.035
