epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.7137843796185085,gcn,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.703125,0.0,0.0,0.0,0.2295390204144633,0.1702666112035513,0.964736842105263,0.703125,0.0,0.0,0.0,0.2295390204144633,0.1702666112035513,0.964736842105263,0.0,0.0,0.0
5,0.5150389671325684,gcn,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.75015625,0.771806166056166,0.1715789473684211,0.2574353454928462,0.1451079610528262,0.2752606440964155,0.8873684210526317,0.96765625,0.9768026277987579,0.9126315789473683,0.9406936753620068,0.05954776657964539,0.16293523740357008,0.9552631578947367,0.649304152415684,0.9894082004596711,0.010591799540328952
10,0.30273217814309256,gcn,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.8834375,0.8327891494877596,0.7736842105263158,0.7860613387384593,0.08479403191276402,0.12197147472805227,0.8289473684210524,0.95109375,0.89642180710275,0.9531578947368421,0.9205463647862847,0.045787735214337454,0.07488032947693253,0.9047368421052631,0.3709901122269543,0.9001269841269842,0.059873015873015877
15,0.18718853167125157,gcn,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.96,0.9157851156557207,0.96,0.9341752799517762,0.03808947290413601,0.11241883448652516,0.958421052631579,0.99046875,0.9739646844383688,0.9957894736842104,0.9843738962622148,0.016745844779163178,0.07071501951160826,0.9815789473684211,0.19003166278166275,0.8126666666666665,0.02733333333333333
20,0.1028036241020475,gcn,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.9890625,0.9814414221829082,0.9826315789473683,0.9814511833985519,0.015373244430764925,0.06399578684278823,0.9873684210526315,0.9953125,0.9886165413533835,0.9963157894736843,0.9922483434851856,0.006088689245642421,0.03926230899253824,0.9963157894736842,0.06164585414585415,0.345,0.055
25,0.06438864980425153,gcn,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.99078125,0.9867171052631579,0.9826315789473685,0.9842204176414703,0.009272756100573517,0.038188607129491174,0.9905263157894737,0.99578125,0.992421052631579,0.993684210526316,0.9928816670921933,0.0037887756619747943,0.020987268318067808,0.9973684210526315,0.048496031746031745,0.275,0.035
30,0.04779702052474022,gcn,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.99203125,0.9892171052631579,0.9842105263157896,0.9863583247793776,0.007477525259273605,0.027340148222876906,0.9921052631578948,0.9959375,0.9929181286549708,0.993684210526316,0.9931084728453149,0.003094823028956502,0.01403992917367788,0.9978947368421052,0.044421717171717175,0.25,0.04
35,0.03853414260915348,gcn,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.99265625,0.9892894736842106,0.9863157894736841,0.9875312154259523,0.006363721933876947,0.021576181536482865,0.9926315789473685,0.99640625,0.9943918128654969,0.993684210526316,0.9938930833667675,0.0027343421892842895,0.010952125920133091,0.9973684210526315,0.04161507936507936,0.245,0.025
40,0.03247154078313282,gcn,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.993125,0.9893157894736843,0.9878947368421052,0.9883416614995564,0.00579500679195081,0.01840573964285454,0.9921052631578948,0.99703125,0.9945,0.9957894736842107,0.994987294987295,0.0023643577266198195,0.00868326096293764,0.9978947368421052,0.03794444444444444,0.215,0.015
45,0.029245920745389804,gcn,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.9934375,0.9917894736842107,0.9863157894736841,0.9888132667080036,0.005511540811454769,0.015758157817580526,0.9926315789473685,0.996875,0.9949473684210527,0.9947368421052633,0.9947038941775784,0.0023611672836247456,0.0073358371955410525,0.9978947368421052,0.03701190476190476,0.205,0.025
50,0.027558894029685428,gcn,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.99390625,0.9947865497076023,0.9847368421052632,0.9895113129323656,0.0052515650147267464,0.014794230508283022,0.9926315789473685,0.99671875,0.9974444444444446,0.9915789473684211,0.9943497343497344,0.002469662062133123,0.006809434978388838,0.9978947368421052,0.04382539682539683,0.185,0.065
55,0.02880175145609038,gcn,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.99453125,0.9928157894736842,0.9889473684210526,0.9906920888499836,0.00490684108677295,0.01345804988607597,0.9921052631578948,0.99703125,0.9949736842105262,0.995263157894737,0.9949888147256568,0.0023591590441347106,0.006107357431588349,0.9968421052631578,0.02918253968253968,0.15,0.03
60,0.02439297003937619,gcn,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.99453125,0.9932894736842105,0.9884210526315789,0.9906785935733304,0.004801921511134953,0.012175619371162157,0.9926315789473685,0.996875,0.9954999999999999,0.9942105263157895,0.9946893046893046,0.0022545269649921176,0.005623825827834585,0.9973684210526315,0.033361111111111105,0.165,0.045
