epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6710835695266724,graphsage,match,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.703125,0.0,0.0,0.0,0.2030671317202887,0.41574906261172145,0.9905263157894737,0.98296875,1.0,0.9426315789473685,0.9693174878468995,0.09341375523308339,0.23581920747347293,0.9978947368421052,0.6907826056446748,1.0,0.0
5,0.13335277246577398,graphsage,match,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.9815625,0.9585114737941499,0.9831578947368422,0.9696350588099437,0.013851504242551504,0.0463692181664419,0.9894736842105263,0.99671875,0.9895476190476191,1.0,0.9946282051282052,0.004096468958385013,0.024338325856202183,0.9952631578947368,0.11614502164502165,0.575,0.005
10,0.017347223092136637,graphsage,match,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99859375,0.998,0.9973684210526315,0.9976230076230075,0.0013226261464015319,0.0025467662661513048,0.9978947368421052,0.9996875,0.9990000000000001,1.0,0.9994871794871796,0.00034686532800232096,0.0006148494346300946,0.9994736842105263,0.009642857142857142,0.07,0.0
15,0.013453924396474446,graphsage,match,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99890625,0.9984999999999999,0.9978947368421052,0.9981496881496881,0.001076385138255112,0.002240628705507071,0.9978947368421052,0.9996875,0.9990000000000001,1.0,0.9994871794871796,0.0002903254538129807,0.0006753464013617427,1.0,0.006964285714285714,0.05,0.0
20,0.008412514497259898,graphsage,match,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99890625,0.9984999999999999,0.9978947368421052,0.9981496881496881,0.0008685274119084256,0.001784661974058076,0.9984210526315789,0.9996875,0.9990000000000001,1.0,0.9994871794871796,0.0003129733434520569,0.0005250408156525682,1.0,0.006964285714285714,0.05,0.0
25,0.007586345010037933,graphsage,match,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99890625,0.9984999999999999,0.9978947368421052,0.9981496881496881,0.0008212930876000469,0.0014062539412122276,0.9989473684210526,0.9996875,0.9990000000000001,1.0,0.9994871794871796,0.00032469466246954357,0.000514409953541662,0.9994736842105263,0.007142857142857142,0.05,0.0
30,0.006000452541879245,graphsage,match,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.9990625,0.998,0.9989473684210526,0.9984338184338185,0.0006974585177197298,0.0013086865550766573,0.9994736842105263,0.9996875,0.9990000000000001,1.0,0.9994871794871796,0.0003475346983502841,0.000537307879675743,0.9994736842105263,0.005535714285714286,0.04,0.0
35,0.00998373915873734,graphsage,match,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.999375,0.9984999999999999,0.9994736842105263,0.998960498960499,0.0005604369011063757,0.0012110120028836142,0.9994736842105263,0.9996875,0.9990000000000001,1.0,0.9994871794871796,0.0003181992429911667,0.0004704788945125888,0.9994736842105263,0.0026785714285714286,0.02,0.0
40,0.0049000469443853945,graphsage,match,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.999375,0.9990000000000001,0.9989473684210526,0.9989466389466389,0.0005562314793591061,0.0012059985425843325,0.9994736842105263,0.9996875,0.9990000000000001,1.0,0.9994871794871796,0.00032483191321335024,0.0005400810693847446,0.9994736842105263,0.002857142857142857,0.02,0.0
45,0.00459257051781086,graphsage,match,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.9990625,0.998,0.9989473684210526,0.9984338184338185,0.0007138821678723724,0.0011884220898600358,0.9994736842105263,0.9996875,0.9990000000000001,1.0,0.9994871794871796,0.0003671617636950076,0.0005856851655743679,0.9994736842105263,0.005357142857142857,0.04,0.0
50,0.005559998988506517,graphsage,match,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99953125,0.9990000000000001,0.9994736842105263,0.9992169092169092,0.00043861572974378466,0.0010454696424568248,0.9994736842105263,0.9996875,0.9990000000000001,1.0,0.9994871794871796,0.0003360560630709274,0.0005741496959768558,0.9994736842105263,0.00125,0.01,0.0
55,0.0033046518261211793,graphsage,match,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.999375,0.9990000000000001,0.9989473684210526,0.9989466389466389,0.0005112904008061666,0.000995384226147291,0.9994736842105263,0.9996875,0.9990000000000001,1.0,0.9994871794871796,0.0003173682253659728,0.0005457136902773037,0.9994736842105263,0.002857142857142857,0.02,0.0
60,0.0034921051285761806,graphsage,match,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99921875,0.9975,1.0,0.9987179487179486,0.0005858667364340715,0.0012232013944305916,0.9994736842105263,0.999375,0.9980000000000001,1.0,0.9989743589743589,0.0004665380273345596,0.000758804190624288,1.0,0.0014285714285714286,0.01,0.0
