epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6156202692251939,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,0.7001953125,0.0,0.0,0.0,0.16029468271952166,0.3571487699281715,0.9999348534201954,0.8169140625,1.0,0.38931596091205223,0.5493598212022244,0.11582949995169564,0.2849878294793598,0.9999348534201954,0.9974572711705599,1.0,0.0
5,0.0017930407596465487,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,0.9999609375,0.9999025974025975,0.9999674267100978,0.999934906298492,3.783610733069938e-05,0.00013835799558058166,1.0,1.0,1.0,1.0,1.0,1.3371754332643294e-09,1.3138893869581616e-05,1.0,0.00038834951456310677,0.04,0.0
10,0.000464816743400521,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,6.437536864254261e-06,2.9339500632052346e-05,1.0,1.0,1.0,1.0,1.0,3.740974919344529e-11,2.2251168404941457e-06,1.0,9.615384615384615e-05,0.01,0.0
15,0.00035985770283822116,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,1.8785062166581958e-06,1.480681652857294e-05,1.0,1.0,1.0,1.0,1.0,9.738702990979252e-12,1.0651121568729443e-06,1.0,0.0,0.0,0.0
20,0.0003291978923348674,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,3.7810838678646163e-07,7.783335690316466e-06,1.0,1.0,1.0,1.0,1.0,2.634297292345492e-12,5.357788965142997e-07,1.0,0.0,0.0,0.0
25,0.00016063926970953337,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,1.590063271102092e-07,5.171768040410938e-06,1.0,1.0,1.0,1.0,1.0,1.0538708886389693e-12,3.225417784543956e-07,1.0,0.0,0.0,0.0
30,0.00020550681420690336,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,1.1343642283914874e-07,3.9922422039729516e-06,1.0,1.0,1.0,1.0,1.0,5.504915929800608e-13,2.1992193098219763e-07,1.0,0.0,0.0,0.0
35,0.00015275847121861612,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,7.547090317411459e-08,3.4351661759276086e-06,1.0,1.0,1.0,1.0,1.0,3.52684308246153e-13,1.8944770821424e-07,1.0,0.0,0.0,0.0
40,0.00012327133792776015,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,7.323121874323377e-08,3.391506317263792e-06,1.0,1.0,1.0,1.0,1.0,4.328676465119001e-13,1.9904348791034097e-07,1.0,0.0,0.0,0.0
45,8.040665639222985e-05,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,5.346710873983463e-08,2.83586040947593e-06,1.0,1.0,1.0,1.0,1.0,2.644002031463361e-13,1.61152814906949e-07,1.0,0.0,0.0,0.0
50,6.695715641259225e-05,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,6.874832418360474e-08,2.9783347266825018e-06,1.0,1.0,1.0,1.0,1.0,2.415527268786107e-13,1.4935782452709336e-07,1.0,0.0,0.0,0.0
55,0.00012926764873974698,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,2.8204837867147397e-08,2.3869146136111118e-06,1.0,1.0,1.0,1.0,1.0,1.626725296121311e-13,1.4468318666541313e-07,1.0,0.0,0.0,0.0
60,9.528890859655803e-05,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,3.064632634130204e-08,2.431189663549498e-06,1.0,1.0,1.0,1.0,1.0,1.846649172116533e-13,1.535658723769376e-07,1.0,0.0,0.0,0.0
