epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.5925760635962853,graphsage,full,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,0.7001953125,0.0,0.0,0.0,0.14740835428990456,0.3404516550859262,0.9999674267100978,0.899755859375,1.0,0.6656351791530944,0.7661614694593165,0.07529300351777526,0.21751000669857604,0.9999674267100978,0.9532218710633891,1.0,0.0
5,0.0008152050678080951,graphsage,full,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,5.123667849752046e-06,4.638877337307644e-05,1.0,1.0,1.0,1.0,1.0,1.951995837352993e-10,3.470606377831908e-06,1.0,0.0,0.0,0.0
10,0.0003213862303080252,graphsage,full,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,1.4888053822411338e-06,1.3948632441987131e-05,1.0,1.0,1.0,1.0,1.0,2.6244565772754714e-07,2.6183616319657015e-06,1.0,0.0,0.0,0.0
15,0.00011950079113795745,graphsage,full,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,9.411622605159352e-07,9.11360363948597e-06,1.0,1.0,1.0,1.0,1.0,3.0319563899774304e-12,6.278709119465814e-07,1.0,0.0,0.0,0.0
20,0.00010302762781905655,graphsage,full,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,2.4879905155811695e-07,4.362803050177338e-06,1.0,1.0,1.0,1.0,1.0,1.2006860420621587e-12,3.87675669792868e-07,1.0,0.0,0.0,0.0
25,9.334548471647744e-05,graphsage,full,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,6.519502352489655e-08,2.186083540416551e-06,1.0,1.0,1.0,1.0,1.0,4.745642603404565e-13,2.368861792489934e-07,1.0,0.0,0.0,0.0
30,9.669476947657621e-05,graphsage,full,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,3.5862837891850106e-07,3.6851755290337885e-06,1.0,1.0,1.0,1.0,1.0,5.838298710875267e-13,2.574144144698332e-07,1.0,0.0,0.0,0.0
35,7.470205467213348e-05,graphsage,full,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,1.0115145571837587e-08,1.056643383915047e-06,1.0,1.0,1.0,1.0,1.0,1.6104000139726435e-13,1.326311307576381e-07,1.0,0.0,0.0,0.0
40,5.457019959137072e-05,graphsage,full,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,5.581131943577316e-09,8.041260405816784e-07,1.0,1.0,1.0,1.0,1.0,1.1053452133524622e-13,1.0834761102466412e-07,1.0,0.0,0.0,0.0
45,2.349124741403312e-05,graphsage,full,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,1.968488506700828e-08,9.095023342603256e-07,1.0,1.0,1.0,1.0,1.0,9.676141657964887e-14,9.935924469403055e-08,1.0,0.0,0.0,0.0
50,5.52540073280957e-05,graphsage,full,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,5.261281688765657e-08,1.3184256728497465e-06,1.0,1.0,1.0,1.0,1.0,1.6335717912741806e-13,1.3062115946653753e-07,1.0,0.0,0.0,0.0
55,4.605641612880181e-05,graphsage,full,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,2.5931370750770073e-08,1.0085067016437626e-06,1.0,1.0,1.0,1.0,1.0,1.372320046247953e-13,1.184445059323316e-07,1.0,0.0,0.0,0.0
60,7.318052138753746e-05,graphsage,full,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,8.634608194563394e-10,4.7474002380703166e-07,1.0,1.0,1.0,1.0,1.0,9.150524515732334e-14,9.55048331882161e-08,1.0,0.0,0.0,0.0
