epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6305405451701238,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.7001953125,0.0,0.0,0.0,0.15406690601586065,0.3409734520086204,0.9975895765472312,0.973837890625,1.0,0.9127361563517915,0.9488514622391948,0.05875206529159156,0.187603737981454,0.9985667752442997,0.9205076506002395,1.0,0.0
2,0.34226116652672106,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.99427734375,0.9903852519947337,0.9906840390879479,0.9903787731372062,0.01913521153981534,0.09932251701473432,0.9970358306188924,0.9999609375,0.9998701298701299,1.0,0.9999349593495935,0.010010561851455557,0.07228361885809602,0.9998697068403908,0.047652183943893506,0.99,0.0
3,0.053627404742516004,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.998515625,0.9978585710711632,0.9971986970684038,0.9975130540770729,0.001460910929840976,0.0056782064685602755,0.9987622149837133,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,4.092657084259536e-05,0.002103866406161155,0.9999674267100978,0.014242621629024376,0.63,0.0
4,0.007794298930093646,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.9994921875,0.999089953831293,0.9992182410423454,0.9991529319344445,0.0003825171973401288,0.0008980028467461845,0.9996091205211727,1.0,1.0,1.0,1.0,1.92167324209322e-06,0.00010424716409939742,1.0,0.005021524591912942,0.35,0.0
5,0.003174376181470087,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.99970703125,0.9996099645203972,0.9994136807817589,0.9995111869782127,0.00023156411549795204,0.0004589379191233778,0.9997068403908795,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,7.919212978765546e-06,3.34720800145955e-05,1.0,0.002801548774849746,0.22,0.0
6,0.0021824316130592846,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.999755859375,0.9998047710842307,0.9993811074918565,0.9995923817745789,0.00020881017810202833,0.00039327646158597975,0.9997394136807819,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,1.0530659401983422e-05,2.761037658417264e-05,1.0,0.0023180145097620826,0.2,0.0
7,0.0018632114515639842,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.999775390625,0.9997721977943286,0.9994788273615635,0.9996250613394889,0.0001833446355859477,0.00032711179139721316,0.9997394136807819,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,1.0149807464387106e-05,2.3058075286477063e-05,1.0,0.002127573882428251,0.17,0.0
8,0.001735692006500008,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.999775390625,0.9998372386166983,0.9994136807817589,0.9996249018397276,0.0001839488702533891,0.00032070954741741437,0.999771986970684,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,1.0445221337848727e-05,2.325786973297868e-05,1.0,0.0021285074149151816,0.17,0.0
9,0.001620378873597544,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.99978515625,0.9998047710842307,0.9994788273615635,0.9996413214156883,0.00017544657249868312,0.0003064890646624376,0.9998045602605862,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,1.0124517453353501e-05,2.2274935109269363e-05,1.0,0.0020323180056189766,0.17,0.0
10,0.0016113591510265206,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.9998046875,0.9997723035517632,0.9995765472312703,0.9996740542053517,0.00016698976464880476,0.00029864211444228416,0.9998045602605862,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,9.482979350965872e-06,2.0600272508668923e-05,1.0,0.0018399925317401046,0.16,0.0
11,0.0014145305926481693,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.9998046875,0.9998372386166983,0.9995114006514657,0.9996738947919929,0.00017000811336034726,0.000303339927182201,0.9998045602605862,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,9.983536067452771e-06,2.1399101499993953e-05,1.0,0.001840926064227035,0.15,0.0
12,0.0011944369135352855,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.9998046875,0.9998372386166983,0.9995114006514657,0.9996738947919929,0.0001663206154660075,0.0002938501901721018,0.9998045602605862,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,9.998206980165315e-06,2.033583883471946e-05,1.0,0.0018418595967139655,0.15,0.0
