epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.720109258379255,graphsage,dispersion,hypercube_n6_run1_train,hypercube_n6_run1_test,0.7640625,0.74,0.20526315789473684,0.2845956375320258,0.21459224196926868,0.22020734595134855,0.9894736842105263,0.7640625,0.74,0.20526315789473684,0.2845956375320258,0.21459224196926868,0.22020734595134855,0.9894736842105263,0.0,0.0,0.0
5,0.16696733236312866,graphsage,dispersion,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9771875,0.9596346470082168,0.9673684210526315,0.9610287490835165,0.018836318958663115,0.0612465106108175,0.9852631578947368,0.9971875,0.9925714285714285,0.9984210526315789,0.9953825363825365,0.005226650655817417,0.03133177489764262,0.9963157894736842,0.14911158286158285,0.6775,0.0025
10,0.020389818320316926,graphsage,dispersion,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99546875,0.9979181286549708,0.986842105263158,0.9921127298495719,0.003075427088597195,0.00621733843375111,0.996842105263158,1.0,1.0,1.0,1.0,1.393476212238767e-05,0.0005083228493756828,1.0,0.038392857142857145,0.21,0.0
15,0.015581969038716384,graphsage,dispersion,hypercube_n6_run1_train,hypercube_n6_run1_test,0.995625,0.9994736842105263,0.9857894736842107,0.9923552800921223,0.003152897614261749,0.0052761203743496325,0.996842105263158,1.0,1.0,1.0,1.0,1.7205619055012793e-06,0.0002461962104913129,1.0,0.03785714285714285,0.22,0.0
20,0.010979024236023958,graphsage,dispersion,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99578125,0.9984736842105264,0.9873684210526317,0.9926845874214297,0.0029276320424217427,0.0049061220783991645,0.9978947368421052,1.0,1.0,1.0,1.0,1.5469270884591848e-06,0.0002117953029511333,1.0,0.03660714285714286,0.22,0.0
25,0.012042379538927759,graphsage,dispersion,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9965625,0.9979473684210527,0.9905263157894737,0.9940651785388629,0.002467569050428022,0.004359915548228841,0.9978947368421052,1.0,1.0,1.0,1.0,9.363783339610164e-06,0.00022773973015976885,1.0,0.0302579365079365,0.17,0.0
30,0.012799942500091024,graphsage,dispersion,hypercube_n6_run1_train,hypercube_n6_run1_test,0.996875,0.9974736842105263,0.9921052631578948,0.9946192143560566,0.0021375317583230634,0.004077131717545726,0.9978947368421052,1.0,1.0,1.0,1.0,6.402224993112714e-06,0.00018974618471364775,1.0,0.027857142857142855,0.16,0.0
35,0.010489795689604111,graphsage,dispersion,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9971875,0.998,0.9926315789473685,0.9951455301455303,0.0021900039793537524,0.004080363922495919,0.9978947368421052,1.0,1.0,1.0,1.0,1.0599821462490911e-05,0.0001977195702492783,1.0,0.025535714285714283,0.15,0.0
40,0.012188324139320425,graphsage,dispersion,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9971875,0.998,0.9926315789473685,0.9951455301455303,0.0021908094049490753,0.003924649511158797,0.9973684210526315,1.0,1.0,1.0,1.0,1.2901191474038992e-05,0.00016232526027872528,1.0,0.025357142857142856,0.15,0.0
45,0.008596137032977172,graphsage,dispersion,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9965625,0.9990000000000001,0.9894736842105263,0.9940367290367291,0.002730256613834826,0.004365531742580071,0.9978947368421052,0.99984375,1.0,0.9994736842105263,0.9997297297297297,8.242405481631278e-05,0.0002656511734004418,1.0,0.032499999999999994,0.19,0.01
50,0.00899612867007298,graphsage,dispersion,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99578125,0.9989736842105263,0.9868421052631581,0.9926544253912675,0.002914286954168471,0.004747987494657303,0.9978947368421052,0.99984375,1.0,0.9994736842105263,0.9997297297297297,7.076986307796999e-05,0.0002510143706527416,1.0,0.03857142857142856,0.22,0.01
55,0.0063096543474655065,graphsage,dispersion,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99671875,0.9990000000000001,0.99,0.9942919842919844,0.002432235169259609,0.00403891672233108,0.9984210526315789,1.0,1.0,1.0,1.0,4.077561601075733e-05,0.00018616589968729435,1.0,0.02964285714285714,0.17,0.0
60,0.007035388677780118,graphsage,dispersion,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99703125,0.9985,0.9915789473684211,0.9948613998613999,0.002115716270153719,0.003691467920959538,0.9984210526315789,1.0,1.0,1.0,1.0,4.127371259891137e-05,0.00021849641230042684,1.0,0.026607142857142857,0.16,0.0
