epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6056507252729856,graphsage,dispersion,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.7001953125,0.0,0.0,0.0,0.13848282744417134,0.33258671205781865,0.9970684039087948,0.983701171875,0.9999289269737257,0.945700325732899,0.9686770469255579,0.04533168845589649,0.16765496357904225,0.998371335504886,0.8919383098953004,0.9999289269737257,7.107302627433685e-05
5,0.007144066469314007,graphsage,dispersion,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.999267578125,0.9988645779327101,0.9986970684039087,0.9987773458041863,0.0005287009909241501,0.0011179597588789622,0.9996416938110749,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,4.96743237437256e-06,4.1327620505315044e-05,1.0,0.007129864182346321,0.52,0.0
10,0.003905535380069453,graphsage,dispersion,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.99955078125,0.9997075806929228,0.9987947882736157,0.9992493762338353,0.00031606318418531647,0.0006765842461856751,0.999771986970684,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.2904351722369852e-05,5.442564379607653e-05,1.0,0.00443810235072371,0.33,0.01
15,0.0030637358118278477,graphsage,dispersion,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.99966796875,0.9997075806929228,0.999185667752443,0.9994455082381205,0.00026841626779765314,0.0006220898608296062,0.9997394136807816,0.999970703125,1.0,0.9999022801302931,0.9999510603588907,1.4672585910156471e-05,5.176316505433002e-05,1.0,0.003383139514207475,0.26,0.01
20,0.0026127618039026856,graphsage,dispersion,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.999677734375,0.9996751131604552,0.9992508143322476,0.9994619811252369,0.00025732977724782566,0.0005508857783055661,0.9997719869706839,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.1809514102668048e-05,3.646272829390323e-05,1.0,0.0031908673850421423,0.275,0.005
25,0.002337234587265322,graphsage,dispersion,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.99962890625,0.9997725157578579,0.9989902280130292,0.9993800426587934,0.0002687585951244914,0.0005890648239795258,0.9997719869706839,0.999970703125,1.0,0.9999022801302931,0.9999510603588907,1.636226302995544e-05,3.8933190899496814e-05,1.0,0.0037677371172516803,0.2816666666666666,0.008333333333333333
30,0.0022954832260998394,graphsage,dispersion,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.999677734375,0.9996750074030204,0.9992508143322476,0.9994619279004834,0.0002459023167733934,0.0005554600033686807,0.9997719869706839,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,9.242798490180874e-06,2.650987117742705e-05,1.0,0.0031843148760624484,0.255,0.005
35,0.0021309079960561716,graphsage,dispersion,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.9996875,0.9995779207088937,0.9993811074918565,0.99947850628498,0.00023687602919140321,0.0005369107470327597,0.9997719869706839,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,6.567273557920706e-06,2.005567005966221e-05,1.0,0.0029957768768448384,0.26,0.0
40,0.002018245151982858,graphsage,dispersion,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.999658203125,0.9996750074030204,0.999185667752443,0.9994292481619215,0.00023779949955079195,0.0005361226730614283,0.9997719869706839,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,8.165895305448682e-06,2.1561685080977386e-05,1.0,0.0033766926881508307,0.26666666666666666,0.003333333333333333
45,0.0018307165323326795,graphsage,dispersion,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.9996875,0.9996429615312635,0.9993159609120521,0.999478346785219,0.0002302628210782114,0.0005313600669164086,0.9997719869706839,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,7.078908026835011e-06,1.921267062222727e-05,1.0,0.0031861997226074897,0.25666666666666665,0.003333333333333333
50,0.0018574123208124477,graphsage,dispersion,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.999658203125,0.9997400482253903,0.9991205211726384,0.999429141973316,0.00023489044794175736,0.0005056686750137383,0.9997719869706839,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,8.110854043780366e-06,1.9949128745875545e-05,1.0,0.0033804268180985526,0.2766666666666666,0.003333333333333333
55,0.001779159338464244,graphsage,dispersion,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.999716796875,0.9997078965961986,0.9993485342019542,0.9995273405193498,0.00022225055797476853,0.000508684819372134,0.9997719869706839,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,7.105334576865561e-06,1.8201220023601153e-05,1.0,0.0029014723140936734,0.24666666666666665,0.003333333333333333
60,0.0017460522940382361,graphsage,dispersion,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.999697265625,0.9997078965961986,0.9992833876221497,0.9994946607807879,0.00021879890137227042,0.0005179438023434823,0.9998045602605862,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,8.405119138304059e-06,1.9738222254699738e-05,1.0,0.0030891474038570576,0.25666666666666665,0.003333333333333333
