epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6330287135564364,graphsage,mismatch,kary_n5_k4_run2_train,kary_n5_k4_run2_test,0.7001953125,0.0,0.0,0.0,0.1786839331287544,0.31531035383770356,0.9984364820846904,0.80076171875,0.9999029126213592,0.33547231270358324,0.5023902439024388,0.13285215994578892,0.24743124304004596,0.9984364820846904,1.0,0.9999029126213592,9.708737864077669e-05
5,0.012163093815056177,graphsage,mismatch,kary_n5_k4_run2_train,kary_n5_k4_run2_test,0.999609375,0.9990924824665348,0.9996091205211727,0.9993490053527097,0.0002632275259462681,0.0006041939536339592,0.9999348534201954,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,1.0130665396671588e-05,8.543678390215437e-05,1.0,0.00376868843130979,0.27,0.0
10,0.0024628773457012498,graphsage,mismatch,kary_n5_k4_run2_train,kary_n5_k4_run2_test,0.99990234375,0.999708422645316,0.9999674267100978,0.9998375037010894,8.722701311143294e-05,0.00022792978572273872,0.9999674267100978,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,9.449394373338736e-06,5.186459747026794e-05,1.0,0.0008709858103061985,0.07,0.0
15,0.0011806709338158655,graphsage,mismatch,kary_n5_k4_run2_train,kary_n5_k4_run2_test,0.999931640625,0.9998378724835035,0.9999348534201954,0.9998861255523214,5.035186508392561e-05,0.00011992104161460474,0.9999674267100978,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,7.447745855630832e-06,2.1643702855885617e-05,1.0,0.0005815907393577295,0.06,0.0
20,0.0006967837404003008,graphsage,mismatch,kary_n5_k4_run2_train,kary_n5_k4_run2_test,0.999951171875,0.9999025974025975,0.9999348534201954,0.9999185930847889,3.1112123810573884e-05,7.16614325611715e-05,1.0,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,4.538878155555105e-06,1.1574198410415406e-05,1.0,0.0003874159820761762,0.04,0.0
25,0.0005398688775200683,graphsage,mismatch,kary_n5_k4_run2_train,kary_n5_k4_run2_test,0.9999609375,0.9999025974025975,0.9999674267100978,0.999934906298492,2.80168722930186e-05,5.8441397600868426e-05,1.0,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,3.834323304238282e-06,9.645048303273241e-06,1.0,0.00029126213592233006,0.03,0.0
30,0.0003720347997911561,graphsage,mismatch,kary_n5_k4_run2_train,kary_n5_k4_run2_test,0.999951171875,0.9999025974025975,0.9999348534201954,0.9999185930847889,2.5924648783422796e-05,5.323619114878771e-05,1.0,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,3.283303060064723e-06,8.81096680350398e-06,1.0,0.0003864824495892457,0.04,0.0
35,0.0004151097902929625,graphsage,mismatch,kary_n5_k4_run2_train,kary_n5_k4_run2_test,0.999970703125,0.9999675324675324,0.9999348534201954,0.9999511134099922,2.476769498314245e-05,5.027786585533233e-05,1.0,1.0,1.0,1.0,1.0,2.4132873636841416e-06,8.048160372870803e-06,1.0,0.00029126213592233006,0.03,0.0
40,0.0003453983285558374,graphsage,mismatch,kary_n5_k4_run2_train,kary_n5_k4_run2_test,0.9999609375,0.9999025974025975,0.9999674267100978,0.999934906298492,2.5026605124182456e-05,4.7208360747185595e-05,1.0,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,4.063880526812563e-06,8.716944585541467e-06,1.0,0.00029032860343539954,0.03,0.0
45,0.00032840814653284795,graphsage,mismatch,kary_n5_k4_run2_train,kary_n5_k4_run2_test,0.9999609375,0.9999350649350649,0.9999348534201954,0.9999348532473905,2.3138086974216153e-05,4.434158773179898e-05,1.0,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,2.6461406973921793e-06,7.413659420332757e-06,1.0,0.00029032860343539954,0.03,0.0
50,0.0002398424151649054,graphsage,mismatch,kary_n5_k4_run2_train,kary_n5_k4_run2_test,0.999970703125,0.9999675324675324,0.9999348534201954,0.9999511134099922,2.3263282266124513e-05,4.46441897403325e-05,1.0,1.0,1.0,1.0,1.0,1.901048438699844e-06,6.8803642529191e-06,1.0,0.00029126213592233006,0.03,0.0
55,0.00018016418863016253,graphsage,mismatch,kary_n5_k4_run2_train,kary_n5_k4_run2_test,0.9999609375,0.9999350649350649,0.9999348534201954,0.9999348532473905,2.190093726172241e-05,4.020488327260981e-05,1.0,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,2.6099715114391985e-06,7.023119957389099e-06,1.0,0.00029032860343539954,0.03,0.0
60,0.00023609057685602098,graphsage,mismatch,kary_n5_k4_run2_train,kary_n5_k4_run2_test,0.999970703125,0.9999675324675324,0.9999348534201954,0.9999511134099922,2.2765296807268528e-05,4.15003983155394e-05,1.0,1.0,1.0,1.0,1.0,2.319907912922994e-06,7.096445638785653e-06,1.0,0.00029126213592233006,0.03,0.0
