profile,family,topology,variant,drop_feature,run,seed,accuracy,precision,recall,f1,brier,ece,topk,best_f1,best_f1_epoch,epoch_to_f1_095,epoch_to_f1_099,mean_f1_over_epochs,final_train_loss,loss_reduction
gpu,hypercube,Q6,full,none,1,8300,0.9656,0.9882,0.8947,0.9364,0.0456,0.1573,0.9789,0.9364,20,-1,-1,0.4109,0.4585,0.2457
gpu,hypercube,Q6,w/o match ratio,match,1,8300,0.9500,1.0000,0.8316,0.8965,0.0632,0.1947,0.9789,1.0000,10,10,10,0.6241,0.4933,0.2891
gpu,hypercube,Q6,w/o mismatch ratio,mismatch,1,8300,0.8250,1.0000,0.4105,0.5795,0.1100,0.2155,0.9895,0.9460,10,-1,-1,0.5044,0.5016,0.3082
gpu,hypercube,Q6,w/o dispersion,dispersion,1,8300,1.0000,1.0000,1.0000,1.0000,0.0320,0.1410,1.0000,1.0000,20,15,20,0.8467,0.4535,0.3433
gpu,hypercube,Q6,full,none,2,9304,1.0000,1.0000,1.0000,1.0000,0.0318,0.1389,1.0000,1.0000,10,10,10,0.7206,0.4375,0.2595
gpu,hypercube,Q6,w/o match ratio,match,2,9304,1.0000,1.0000,1.0000,1.0000,0.0394,0.1580,1.0000,1.0000,20,20,20,0.5091,0.4892,0.2568
gpu,hypercube,Q6,w/o mismatch ratio,mismatch,2,9304,0.9344,1.0000,0.7789,0.8647,0.0523,0.1579,0.9895,0.8647,20,-1,-1,0.5017,0.4687,0.2814
gpu,hypercube,Q6,w/o dispersion,dispersion,2,9304,0.9938,1.0000,0.9789,0.9892,0.0303,0.1360,1.0000,0.9892,20,20,-1,0.5048,0.4702,0.2874
gpu,hypercube,Q6,full,none,3,10308,1.0000,1.0000,1.0000,1.0000,0.0250,0.1208,1.0000,1.0000,20,15,20,0.5601,0.3847,0.3491
gpu,hypercube,Q6,w/o match ratio,match,3,10308,0.9938,1.0000,0.9789,0.9892,0.0360,0.1501,1.0000,0.9892,20,20,-1,0.5917,0.4753,0.2082
