profile,topology,variant,drop_feature,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std,topk_mean,topk_std,best_f1_mean,best_f1_std,best_f1_epoch_mean,best_f1_epoch_std,epoch_to_f1_095_mean,epoch_to_f1_095_std,epoch_to_f1_099_mean,epoch_to_f1_099_std,mean_f1_over_epochs_mean,mean_f1_over_epochs_std,final_train_loss_mean,final_train_loss_std,loss_reduction_mean,loss_reduction_std
gpu,"AQ(2,8)",full,none,3,0.9635,0.0552,1.0000,0.0000,0.8772,0.1860,0.9248,0.1162,0.0364,0.0311,0.1283,0.0531,0.9895,0.0182,0.9260,0.1143,16.6667,5.7735,3,3,6,12,0.6376,0.1846,0.3883,0.0735,0.3043,0.0631
gpu,"AQ(2,8)",w/o dispersion,dispersion,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0215,0.0074,0.1079,0.0216,1.0000,0.0000,1.0000,0.0000,20.0000,0.0000,17,6,20,0,0.6433,0.1058,0.3724,0.0171,0.3283,0.0052
gpu,"AQ(2,8)",w/o match ratio,match,3,0.9990,0.0018,1.0000,0.0000,0.9965,0.0061,0.9982,0.0031,0.0283,0.0049,0.1285,0.0134,1.0000,0.0000,0.9982,0.0031,20.0000,0.0000,15,5,20,0,0.5804,0.0347,0.4062,0.0493,0.2889,0.0368
gpu,"AQ(2,8)",w/o mismatch ratio,mismatch,3,0.9156,0.0850,1.0000,0.0000,0.7158,0.2862,0.8063,0.2125,0.0626,0.0421,0.1773,0.0640,0.9860,0.0161,0.9254,0.0530,15.0000,8.6603,6,12,-1,0,0.5142,0.0166,0.4622,0.0538,0.2370,0.0639
gpu,Q6,full,none,3,0.9885,0.0198,0.9961,0.0068,0.9649,0.0608,0.9788,0.0367,0.0341,0.0105,0.1390,0.0182,0.9930,0.0122,0.9788,0.0367,16.6667,5.7735,8,8,10,11,0.5638,0.1549,0.4269,0.0380,0.2848,0.0561
gpu,Q6,w/o dispersion,dispersion,3,0.9979,0.0036,1.0000,0.0000,0.9930,0.0122,0.9964,0.0062,0.0290,0.0037,0.1306,0.0139,1.0000,0.0000,0.9964,0.0062,20.0000,0.0000,12,10,7,12,0.7308,0.1958,0.4148,0.0819,0.3189,0.0286
gpu,Q6,w/o match ratio,match,3,0.9812,0.0272,1.0000,0.0000,0.9368,0.0918,0.9619,0.0569,0.0462,0.0148,0.1676,0.0238,0.9930,0.0122,0.9964,0.0062,16.6667,5.7735,17,6,10,11,0.5750,0.0593,0.4859,0.0094,0.2514,0.0407
gpu,Q6,w/o mismatch ratio,mismatch,3,0.9187,0.0870,1.0000,0.0000,0.7263,0.2930,0.8129,0.2123,0.0610,0.0452,0.1629,0.0503,0.9930,0.0061,0.9351,0.0656,10.3333,9.5044,0,1,0,1,0.5916,0.1534,0.4630,0.0417,0.2715,0.0425
gpu,Q8^2,full,none,3,0.9698,0.0313,0.9967,0.0058,0.9018,0.1096,0.9372,0.0715,0.0429,0.0175,0.1465,0.0391,0.9895,0.0000,0.9855,0.0035,10.0000,8.6603,10,9,-1,0,0.6408,0.0863,0.4362,0.0816,0.2644,0.0700
gpu,Q8^2,w/o dispersion,dispersion,3,0.9938,0.0062,0.9868,0.0114,0.9930,0.0122,0.9896,0.0105,0.0364,0.0052,0.1376,0.0161,0.9860,0.0122,0.9896,0.0105,20.0000,0.0000,15,5,13,12,0.7482,0.1744,0.3799,0.0280,0.3541,0.0288
gpu,Q8^2,w/o match ratio,match,3,0.9854,0.0048,0.9901,0.0095,0.9614,0.0265,0.9739,0.0102,0.0443,0.0120,0.1506,0.0230,0.9825,0.0061,0.9739,0.0102,20.0000,0.0000,17,3,-1,0,0.6122,0.1794,0.4696,0.0530,0.2600,0.0457
gpu,Q8^2,w/o mismatch ratio,mismatch,3,0.9573,0.0605,0.9949,0.0089,0.8596,0.1976,0.9061,0.1388,0.0473,0.0309,0.1544,0.0399,0.9860,0.0161,0.9061,0.1388,20.0000,0.0000,8,11,-1,0,0.5110,0.2162,0.4576,0.0351,0.2806,0.0379
