profile,family,topology,variant,drop_feature,run,seed,accuracy,precision,recall,f1,brier,ece,topk,best_f1,best_f1_epoch,epoch_to_f1_095,epoch_to_f1_099,mean_f1_over_epochs,final_train_loss,loss_reduction
gpu,hypercube,Q10,full,none,1,8300,0.7002,0.0000,0.0000,0.0000,0.2287,0.1491,0.9876,0.0000,1,-1,-1,0.0000,0.6948,0.0000
gpu,hypercube,Q10,w/o match ratio,match,1,8300,0.2998,0.2998,1.0000,0.4613,0.2552,0.2266,0.9922,0.4613,1,-1,-1,0.4613,0.7684,0.0000
gpu,hypercube,Q10,w/o mismatch ratio,mismatch,1,8300,0.2998,0.2998,1.0000,0.4613,0.2596,0.2259,0.8228,0.4613,1,-1,-1,0.4613,0.7906,0.0000
gpu,hypercube,Q10,w/o dispersion,dispersion,1,8300,0.2998,0.2998,1.0000,0.4613,0.2536,0.2317,0.9980,0.4613,1,-1,-1,0.4613,0.7782,0.0000
gpu,kary,Q4^5,full,none,1,8304,0.7002,0.0000,0.0000,0.0000,0.2302,0.1438,0.6169,0.0000,1,-1,-1,0.0000,0.6997,0.0000
gpu,kary,Q4^5,w/o match ratio,match,1,8304,0.7002,0.0000,0.0000,0.0000,0.2215,0.1284,0.9912,0.0000,1,-1,-1,0.0000,0.6916,0.0000
gpu,kary,Q4^5,w/o mismatch ratio,mismatch,1,8304,0.7002,0.0000,0.0000,0.0000,0.2161,0.1213,0.9954,0.0000,1,-1,-1,0.0000,0.6933,0.0000
gpu,kary,Q4^5,w/o dispersion,dispersion,1,8304,0.7002,0.0000,0.0000,0.0000,0.2148,0.1249,0.9928,0.0000,1,-1,-1,0.0000,0.6861,0.0000
gpu,augmented_kary,"AQ(5,4)",full,none,1,8308,0.9427,1.0000,0.8088,0.8765,0.2433,0.4358,0.9980,0.8765,1,-1,-1,0.8765,0.7288,0.0000
gpu,augmented_kary,"AQ(5,4)",w/o match ratio,match,1,8308,0.8812,1.0000,0.6039,0.7290,0.2413,0.3721,0.9964,0.7290,1,-1,-1,0.7290,0.7259,0.0000
gpu,augmented_kary,"AQ(5,4)",w/o mismatch ratio,mismatch,1,8308,0.8724,1.0000,0.5743,0.6908,0.2378,0.3596,1.0000,0.6908,1,-1,-1,0.6908,0.7244,0.0000
gpu,augmented_kary,"AQ(5,4)",w/o dispersion,dispersion,1,8308,0.7012,0.2000,0.0033,0.0064,0.2428,0.1898,0.9528,0.0064,1,-1,-1,0.0064,0.7376,0.0000
