profile,topology,variant,drop_feature,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std,topk_mean,topk_std,best_f1_mean,best_f1_std,best_f1_epoch_mean,best_f1_epoch_std,epoch_to_f1_095_mean,epoch_to_f1_095_std,epoch_to_f1_099_mean,epoch_to_f1_099_std,mean_f1_over_epochs_mean,mean_f1_over_epochs_std,final_train_loss_mean,final_train_loss_std,loss_reduction_mean,loss_reduction_std
gpu,"AQ(5,4)",full,none,1,0.9427,0.0000,1.0000,0.0000,0.8088,0.0000,0.8765,0.0000,0.2433,0.0000,0.4358,0.0000,0.9980,0.0000,0.8765,0.0000,1.0000,0.0000,-1,0,-1,0,0.8765,0.0000,0.7288,0.0000,0.0000,0.0000
gpu,"AQ(5,4)",w/o dispersion,dispersion,1,0.7012,0.0000,0.2000,0.0000,0.0033,0.0000,0.0064,0.0000,0.2428,0.0000,0.1898,0.0000,0.9528,0.0000,0.0064,0.0000,1.0000,0.0000,-1,0,-1,0,0.0064,0.0000,0.7376,0.0000,0.0000,0.0000
gpu,"AQ(5,4)",w/o match ratio,match,1,0.8812,0.0000,1.0000,0.0000,0.6039,0.0000,0.7290,0.0000,0.2413,0.0000,0.3721,0.0000,0.9964,0.0000,0.7290,0.0000,1.0000,0.0000,-1,0,-1,0,0.7290,0.0000,0.7259,0.0000,0.0000,0.0000
gpu,"AQ(5,4)",w/o mismatch ratio,mismatch,1,0.8724,0.0000,1.0000,0.0000,0.5743,0.0000,0.6908,0.0000,0.2378,0.0000,0.3596,0.0000,1.0000,0.0000,0.6908,0.0000,1.0000,0.0000,-1,0,-1,0,0.6908,0.0000,0.7244,0.0000,0.0000,0.0000
gpu,Q10,full,none,1,0.7002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2287,0.0000,0.1491,0.0000,0.9876,0.0000,0.0000,0.0000,1.0000,0.0000,-1,0,-1,0,0.0000,0.0000,0.6948,0.0000,0.0000,0.0000
gpu,Q10,w/o dispersion,dispersion,1,0.2998,0.0000,0.2998,0.0000,1.0000,0.0000,0.4613,0.0000,0.2536,0.0000,0.2317,0.0000,0.9980,0.0000,0.4613,0.0000,1.0000,0.0000,-1,0,-1,0,0.4613,0.0000,0.7782,0.0000,0.0000,0.0000
gpu,Q10,w/o match ratio,match,1,0.2998,0.0000,0.2998,0.0000,1.0000,0.0000,0.4613,0.0000,0.2552,0.0000,0.2266,0.0000,0.9922,0.0000,0.4613,0.0000,1.0000,0.0000,-1,0,-1,0,0.4613,0.0000,0.7684,0.0000,0.0000,0.0000
gpu,Q10,w/o mismatch ratio,mismatch,1,0.2998,0.0000,0.2998,0.0000,1.0000,0.0000,0.4613,0.0000,0.2596,0.0000,0.2259,0.0000,0.8228,0.0000,0.4613,0.0000,1.0000,0.0000,-1,0,-1,0,0.4613,0.0000,0.7906,0.0000,0.0000,0.0000
gpu,Q4^5,full,none,1,0.7002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2302,0.0000,0.1438,0.0000,0.6169,0.0000,0.0000,0.0000,1.0000,0.0000,-1,0,-1,0,0.0000,0.0000,0.6997,0.0000,0.0000,0.0000
gpu,Q4^5,w/o dispersion,dispersion,1,0.7002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2148,0.0000,0.1249,0.0000,0.9928,0.0000,0.0000,0.0000,1.0000,0.0000,-1,0,-1,0,0.0000,0.0000,0.6861,0.0000,0.0000,0.0000
gpu,Q4^5,w/o match ratio,match,1,0.7002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2215,0.0000,0.1284,0.0000,0.9912,0.0000,0.0000,0.0000,1.0000,0.0000,-1,0,-1,0,0.0000,0.0000,0.6916,0.0000,0.0000,0.0000
gpu,Q4^5,w/o mismatch ratio,mismatch,1,0.7002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2161,0.0000,0.1213,0.0000,0.9954,0.0000,0.0000,0.0000,1.0000,0.0000,-1,0,-1,0,0.0000,0.0000,0.6933,0.0000,0.0000,0.0000
