epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6659573316574097,graphsage,full,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,0.7001953125,0.0,0.0,0.0,0.20112378507646989,0.3973402603002614,1.0,0.9999609375,1.0,0.9998697068403908,0.9999346938340317,0.08695554820654733,0.2247427057386433,1.0,0.7180335226051159,1.0,0.0
5,0.18776819109916687,graphsage,full,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,0.99943359375,0.9989982975306372,0.9991205211726384,0.9990554041808918,0.014351002447079646,0.08008208853113502,0.9999674267100978,1.0,1.0,1.0,1.0,0.010960140135899526,0.0645473450952184,1.0,0.005300643294221059,0.32,0.0
10,0.0009656085333387766,graphsage,full,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,0.9999609375,0.9998701298701299,1.0,0.9999349593495935,3.13995413081071e-05,0.00010313141665582948,1.0,1.0,1.0,1.0,1.0,9.275838141608187e-10,1.3370840613229824e-05,1.0,0.0003874159820761762,0.04,0.0
15,0.0004435568220547533,graphsage,full,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,2.0050244470576407e-06,1.629313937088225e-05,1.0,1.0,1.0,1.0,1.0,2.5710214866137952e-11,2.0398512309595147e-06,1.0,0.0,0.0,0.0
20,0.00022241062405165785,graphsage,full,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,4.7105369107252367e-07,8.4856072127863e-06,1.0,1.0,1.0,1.0,1.0,1.121463986303433e-11,1.3020948630357673e-06,1.0,0.0,0.0,0.0
25,0.00018724254862588298,graphsage,full,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,1.4287799282156247e-07,4.8209295117189115e-06,1.0,1.0,1.0,1.0,1.0,4.250245113352853e-12,7.867128107709353e-07,1.0,0.0,0.0,0.0
30,0.00019978937052655965,graphsage,full,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,1.0241176197893362e-07,3.888038343279246e-06,1.0,1.0,1.0,1.0,1.0,2.8714104134443826e-12,6.317095550645293e-07,1.0,0.0,0.0,0.0
35,0.00018598388201748354,graphsage,full,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,6.221657042309997e-08,3.2336124936288315e-06,1.0,1.0,1.0,1.0,1.0,2.3743418998726647e-12,5.707578008456209e-07,1.0,0.0,0.0,0.0
40,8.184129572847658e-05,graphsage,full,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,8.279462648328971e-08,3.3370599103799322e-06,1.0,1.0,1.0,1.0,1.0,2.2007148498473474e-12,5.414034705744455e-07,1.0,0.0,0.0,0.0
45,0.00015266760900496074,graphsage,full,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,3.53161251581401e-08,2.513349118327955e-06,1.0,1.0,1.0,1.0,1.0,1.6840329865105673e-12,4.71619433649659e-07,1.0,0.0,0.0,0.0
50,0.00016581480109120354,graphsage,full,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,6.517446692893722e-08,2.9323636413713776e-06,1.0,1.0,1.0,1.0,1.0,1.8723143667887257e-12,4.888177956487454e-07,1.0,0.0,0.0,0.0
55,0.00019733292616105506,graphsage,full,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,1.2874785689710084e-08,1.6376118321204135e-06,1.0,1.0,1.0,1.0,1.0,8.783036887434709e-13,3.302320970713774e-07,1.0,0.0,0.0,0.0
60,9.11229544726666e-05,graphsage,full,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,8.476252045992225e-09,1.3877599829050864e-06,1.0,1.0,1.0,1.0,1.0,7.304264614063856e-13,2.957684863498871e-07,1.0,0.0,0.0,0.0
