epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6601935369627816,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,0.7001953125,0.0,0.0,0.0,0.19362562237981082,0.4230513241922017,0.9999348534201954,1.0,1.0,1.0,1.0,0.08285978883717009,0.2291339546713462,1.0,0.8192178058303593,1.0,0.0
5,0.08686471251504761,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,0.99916015625,0.9973855496155879,0.9998371335504885,0.9986051974999484,0.0023165402121146776,0.02604562271688195,1.0,1.0,1.0,1.0,1.0,0.001156465705953396,0.01922661627860221,1.0,0.008141960778205391,0.48,0.0
10,0.001190228998893872,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,0.9999609375,0.9999025974025975,0.9999674267100978,0.999934906298492,3.347491656010947e-05,0.00011185583058486971,1.0,1.0,1.0,1.0,1.0,4.994871866567797e-10,8.633786195753185e-06,1.0,0.0003874159820761762,0.04,0.0
15,0.0007234426780736872,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,9.11712194423373e-06,4.321367339768466e-05,1.0,1.0,1.0,1.0,1.0,1.3434720562514518e-10,4.5229369385106375e-06,1.0,9.615384615384615e-05,0.01,0.0
20,0.00039389713076941134,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,6.289713397489279e-06,3.229752718386374e-05,1.0,1.0,1.0,1.0,1.0,9.879643862993734e-11,3.889239861560094e-06,1.0,0.0,0.0,0.0
25,0.0003697696083690971,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,0.999970703125,1.0,0.9999022801302931,0.9999510603588907,1.0941628495657728e-05,3.676831586575974e-05,1.0,1.0,1.0,1.0,1.0,8.900870668511789e-11,3.6261845350019838e-06,1.0,0.0002884615384615385,0.03,0.0
30,0.00025342575411611633,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,3.433309541026406e-06,2.1298625485943965e-05,1.0,1.0,1.0,1.0,1.0,4.2404898067274205e-11,2.496427565992627e-06,1.0,0.0,0.0,0.0
35,0.00036005113569055017,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,1.0988223858167574e-06,1.431957258921905e-05,1.0,1.0,1.0,1.0,1.0,2.625036983953981e-11,1.9675323710895123e-06,1.0,0.0,0.0,0.0
40,0.00026908084588025564,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,1.9098914237111892e-06,1.553134506518734e-05,1.0,1.0,1.0,1.0,1.0,2.3931023373571613e-11,1.822709193536061e-06,1.0,0.0,0.0,0.0
45,0.00024422693500777574,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,5.507143722646874e-07,1.0313438187194745e-05,1.0,1.0,1.0,1.0,1.0,1.1196654587303915e-11,1.2650543362787299e-06,1.0,0.0,0.0,0.0
50,0.00022900048186004694,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,3.8419462438143386e-07,9.134189159476322e-06,1.0,1.0,1.0,1.0,1.0,1.1265433566572094e-11,1.2407353285313578e-06,1.0,0.0,0.0,0.0
55,0.00015053122050241136,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,3.2973925854995223e-07,7.772046833478926e-06,1.0,1.0,1.0,1.0,1.0,8.582525997873191e-12,1.0412385931599258e-06,1.0,0.0,0.0,0.0
60,0.00020680694017625813,graphsage,dispersion,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,9.053862759152069e-07,9.575544862299056e-06,1.0,1.0,1.0,1.0,1.0,7.658330747590475e-12,9.161136377545126e-07,1.0,0.0,0.0,0.0
