epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6709000042506627,graphsage,match,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,0.7001953125,0.0,0.0,0.0,0.20326553458265784,0.43455606847506717,1.0,1.0,1.0,1.0,1.0,0.0927513714652061,0.23988225877778707,1.0,0.790120690169028,1.0,0.0
5,0.08286404982209206,graphsage,match,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,0.9994921875,0.9983518548675739,0.9999674267100978,0.9991563621284553,0.0015583912299599171,0.02047597763501358,1.0,1.0,1.0,1.0,1.0,0.0006145327466535271,0.014317597371041277,1.0,0.004978458502895555,0.33,0.0
10,0.0008203870550330196,graphsage,match,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,0.99998046875,0.9999350649350649,1.0,0.9999674796747968,1.0200165508158469e-05,4.3869412740631836e-05,1.0,1.0,1.0,1.0,1.0,2.0816967714799735e-10,5.457564919836913e-06,1.0,0.00019324122479462286,0.02,0.0
15,0.0003328263976852343,graphsage,match,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,3.8894952689770757e-07,9.769737424537586e-06,1.0,1.0,1.0,1.0,1.0,3.3974273622949485e-11,2.1679762261012325e-06,1.0,0.0,0.0,0.0
20,0.00026477244266841026,graphsage,match,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,6.353028785305477e-08,5.42343812569965e-06,1.0,1.0,1.0,1.0,1.0,1.8132008817553767e-11,1.5661619782594768e-06,1.0,0.0,0.0,0.0
25,0.000289081217488274,graphsage,match,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,4.225213425306057e-08,4.257282932872447e-06,1.0,1.0,1.0,1.0,1.0,1.2507776098798454e-11,1.2750290014188005e-06,1.0,0.0,0.0,0.0
30,0.00013688463773827868,graphsage,match,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,2.438042961821517e-08,3.207358820943067e-06,1.0,1.0,1.0,1.0,1.0,7.659666152855236e-12,9.796925680709556e-07,1.0,0.0,0.0,0.0
35,0.00014424294074290498,graphsage,match,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,1.6136946549757483e-08,2.5578261715189856e-06,1.0,1.0,1.0,1.0,1.0,5.184616676126367e-12,7.879465665937494e-07,1.0,0.0,0.0,0.0
40,3.1631534056941746e-05,graphsage,match,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,2.6710477404355094e-09,1.0899055473733158e-06,1.0,1.0,1.0,1.0,1.0,1.1521055413727539e-12,3.718749896611873e-07,1.0,0.0,0.0,0.0
45,5.697331955291572e-05,graphsage,match,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,1.901128672848612e-09,1.0712013405714997e-06,1.0,1.0,1.0,1.0,1.0,1.174700941510929e-12,3.6353809860125926e-07,1.0,0.0,0.0,0.0
50,4.9836085963761434e-05,graphsage,match,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,2.6132544508314964e-09,1.0605583639215266e-06,1.0,1.0,1.0,1.0,1.0,1.0319782067258132e-12,3.329332985465604e-07,1.0,0.0,0.0,0.0
55,6.47812381170557e-05,graphsage,match,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,2.0341483077618347e-09,6.913087327759502e-07,1.0,1.0,1.0,1.0,1.0,4.422514164144942e-13,2.2754199867905163e-07,1.0,0.0,0.0,0.0
60,4.088357367696257e-05,graphsage,match,augmented_kary_n5_k4_run1_train,augmented_kary_n5_k4_run1_test,1.0,1.0,1.0,1.0,2.5863461454105827e-10,6.28147917367531e-07,1.0,1.0,1.0,1.0,1.0,5.11860601354143e-13,2.403091213948844e-07,1.0,0.0,0.0,0.0
