epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.7252429638590131,graphsage,mismatch,hypercube_n10_run1_train,hypercube_n10_run1_test,0.7001953125,0.0,0.0,0.0,0.21306370086975765,0.13373357951786602,0.9993485342019542,0.7001953125,0.0,0.0,0.0,0.21306370086975765,0.13373357951786602,0.9993485342019542,0.0,0.0,0.0
5,0.27355228790215086,graphsage,mismatch,hypercube_n10_run1_train,hypercube_n10_run1_test,0.991513671875,0.999739728872612,0.9719543973941367,0.9849394264485046,0.030319256531153065,0.13019987241634226,0.9993811074918565,0.99998046875,0.9999675324675324,0.9999674267100978,0.9999674266236953,0.018256255293063933,0.09616065173347836,0.9999674267100978,0.04706819798317701,0.63,0.01
10,0.006034100893884897,graphsage,mismatch,hypercube_n10_run1_train,hypercube_n10_run1_test,0.999736328125,0.9997077922077924,0.9994136807817589,0.999559860756462,0.0002063027206107237,0.0004928866461614337,0.9998697068403908,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,9.699560047168983e-06,4.081575362830701e-05,1.0,0.0025130694548170275,0.23,0.0
15,0.0028468426233822747,graphsage,mismatch,hypercube_n10_run1_train,hypercube_n10_run1_test,0.9998046875,0.9998376623376624,0.9995114006514657,0.9996738943591336,0.00015060789331721282,0.00030863353995398,0.9999348534201954,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,9.611992051932004e-06,2.9481099078538384e-05,1.0,0.0018418595967139653,0.17,0.0
20,0.001823030786389219,graphsage,mismatch,hypercube_n10_run1_train,hypercube_n10_run1_test,0.99982421875,0.9999025974025975,0.9995114006514657,0.9997064146843369,0.00012297053326523833,0.0002566523860251304,0.9999674267100978,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,9.21809743840992e-06,2.923141612955676e-05,1.0,0.0016467513069454817,0.15,0.0
25,0.001890935785403209,graphsage,mismatch,hypercube_n10_run1_train,hypercube_n10_run1_test,0.99990234375,0.9999350649350649,0.9997394136807817,0.999836973965172,8.331059531476287e-05,0.0001680304855107707,0.9999674267100978,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,8.634782091942064e-06,1.7287257319317644e-05,1.0,0.0008728528752800596,0.09,0.0
30,0.0012044634911165173,graphsage,mismatch,hypercube_n10_run1_train,hypercube_n10_run1_test,0.99990234375,0.9999350649350649,0.9997394136807817,0.999836973965172,7.581508051186504e-05,0.0001477057746068502,0.9999674267100978,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,6.898537363484803e-06,1.4447579214535608e-05,1.0,0.000871919342793129,0.09,0.0
35,0.000892133148486859,graphsage,mismatch,hypercube_n10_run1_train,hypercube_n10_run1_test,0.999912109375,0.9999675324675324,0.9997394136807817,0.9998532341277736,7.261360048952699e-05,0.00013461171747978476,0.9999674267100978,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,4.872695538464253e-06,1.1378949500332975e-05,1.0,0.0009671574380312243,0.09,0.01
40,0.0006875240942463279,graphsage,mismatch,hypercube_n10_run1_train,hypercube_n10_run1_test,0.99990234375,0.9999675324675324,0.9997068403908794,0.9998368676029146,6.971983329432978e-05,0.00012893449858662404,0.9999674267100978,1.0,1.0,1.0,1.0,2.470065960701605e-06,9.864460779042084e-06,1.0,0.0009690067214339058,0.09,0.0
45,0.0005745538380454361,graphsage,mismatch,hypercube_n10_run1_train,hypercube_n10_run1_test,0.999921875,0.9999675324675324,0.999771986970684,0.9998695473414767,6.388556893045181e-05,0.00010943008882549895,1.0,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,3.974421891559216e-06,8.700139113205244e-06,1.0,0.0008719371243643087,0.08,0.01
50,0.0008611381843885672,graphsage,mismatch,hypercube_n10_run1_train,hypercube_n10_run1_test,0.999921875,0.9999675324675324,0.999771986970684,0.9998695473414767,6.319532272554923e-05,0.00010664514393686937,1.0,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,4.023839270295615e-06,8.522447808874213e-06,1.0,0.0008710035918773782,0.08,0.01
55,0.00040650854706265297,graphsage,mismatch,hypercube_n10_run1_train,hypercube_n10_run1_test,0.999912109375,1.0,0.9997068403908794,0.9998531277655163,6.560934551171919e-05,0.00010573758577489175,1.0,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,2.6415993974854736e-06,7.152098485081852e-06,1.0,0.0009680731889469753,0.08,0.01
60,0.00046443045721389353,graphsage,mismatch,hypercube_n10_run1_train,hypercube_n10_run1_test,0.999931640625,0.9999350649350649,0.9998371335504886,0.9998859136062813,4.8169957299011464e-05,8.386707421542924e-05,1.0,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,5.309176071118653e-06,8.638511864551351e-06,1.0,0.000773898431665422,0.07,0.01
