epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6803078906876701,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.7001953125,0.0,0.0,0.0,0.2001223767144984,0.4328701163068763,0.9984690553745927,0.999736328125,1.0,0.9991205211726383,0.9995592233630809,0.09023217181792484,0.2371554566332424,1.0,0.7949705335815622,1.0,0.0
5,0.05799237745148795,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.996455078125,0.9900158639639679,0.9983387622149837,0.9941283881135078,0.003009186731297298,0.014421712073150416,0.9982084690553746,0.99998046875,0.9999350649350649,1.0,0.9999674796747968,0.0001922585172118499,0.006737744305855022,0.9999348534201954,0.034149056202159855,0.92,0.0
10,0.0021737670925046715,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.999736328125,0.9995774969879299,0.9995439739413681,0.9995602329815795,0.00023068133422228236,0.00046657599647915147,0.9997068403908795,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,7.721545527816116e-06,3.7295948433454624e-05,1.0,0.0025158700522778187,0.2,0.0
15,0.0014317023784055241,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.999814453125,0.9997724100004232,0.9996091205211727,0.9996904205565588,0.00017544672985564792,0.00032447060421951724,0.9997394136807819,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,9.484985958428538e-06,2.2600058423747916e-05,1.0,0.0017447722180731887,0.16,0.0
20,0.0012993803310174762,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.999794921875,0.9998372386166983,0.9994788273615635,0.9996575815782899,0.0001739823229665824,0.00030569724166428983,0.9998045602605862,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,1.020729558755967e-05,2.238216769283904e-05,1.0,0.0019389469753547423,0.16,0.0
25,0.0010496849052807583,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.999794921875,0.9998047710842307,0.9995114006514657,0.9996576346293913,0.00016024147647902983,0.00027199586441010374,0.9998045602605862,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,9.974572497868993e-06,1.8438611720400244e-05,1.0,0.00193521284540702,0.16,0.0
30,0.0008419029971784246,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.99982421875,0.9997724100004232,0.9996416938110749,0.9997067337702618,0.00015133389182994715,0.00025101049082934876,0.9998045602605862,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,9.536041984023894e-06,1.604071156833847e-05,1.0,0.0016467513069454815,0.15,0.0
35,0.0007814436394255608,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.999814453125,0.9998697061491657,0.9995114006514657,0.9996901016434387,0.00014824000908170298,0.00024117468837472946,0.9998045602605862,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,9.85787186788023e-06,1.6673272607524077e-05,1.0,0.0017401045556385362,0.13,0.0
40,0.0005648847083128723,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.99982421875,0.9999021736816333,0.9995114006514657,0.9997063618060403,0.0001474839266675295,0.00023685946989823622,0.9998045602605862,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.9477751653445144e-05,2.5527426259840824e-05,1.0,0.001551530993278566,0.12,0.0
45,0.0005612553130569202,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.99982421875,0.9998698125978257,0.9995439739413681,0.9997064679946456,0.00013799403217380828,0.0002193695144511427,0.9998045602605862,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.903335040246595e-05,2.3908272565079653e-05,1.0,0.0015459653614993418,0.13,0.0
50,0.0009725436850983117,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.99982421875,0.9999021736816333,0.9995114006514657,0.9997063618060403,0.00014176925553714595,0.00022301155723838197,0.9998045602605862,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.941909077341011e-05,2.443771320357197e-05,1.0,0.0015496994914470641,0.12,0.0
55,0.0006685344441003897,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.999833984375,0.9999022801302931,0.9995439739413681,0.9997227281572474,0.00013110940619307597,0.0002066817509240246,0.9998045602605862,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.8837539140999097e-05,2.265673728313991e-05,1.0,0.0014507450478324262,0.12,0.0
60,0.0005283585217382227,graphsage,full,hypercube_n10_run3_train,hypercube_n10_run3_test,0.999833984375,0.9998698125978257,0.9995765472312703,0.9997228345195046,0.0001200872523506911,0.00019393336502126053,0.9998045602605862,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.8198943477984355e-05,2.1384077981911788e-05,1.0,0.0014516430171769977,0.13,0.0
