epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6564938511167254,graphsage,full,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.7001953125,0.0,0.0,0.0,0.1988447981937139,0.3049836598476395,0.9986970684039087,0.954208984375,1.0,0.8472638436482083,0.9051735142713312,0.10592051625877572,0.2178655043832331,0.9989902280130292,0.9396601087417598,1.0,0.0
5,0.18314516225031444,graphsage,full,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.9980859375,0.9981181136763135,0.9955048859934854,0.9967791040822342,0.007845094915882206,0.059196946451402256,0.9989576547231269,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,0.003914404714558038,0.043761921192643036,0.9999674267100978,0.01690228549625838,0.68,0.0
10,0.003457475603292031,graphsage,full,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999736328125,0.9999025974025973,0.9992182410423451,0.9995591687482479,0.0002142837860583128,0.00041560980083451437,0.9998371335504885,1.0,1.0,1.0,1.0,4.013883234051193e-09,9.542566800535447e-06,1.0,0.002606476048223621,0.19,0.0
15,0.0021140826200800283,graphsage,full,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.99982421875,0.999739623813201,0.9996742671009771,0.9997066806327579,0.00013132501499361484,0.0002533352178332396,0.9998371335504885,1.0,1.0,1.0,1.0,4.664772599948262e-09,9.9108637312955e-06,1.0,0.0017373039581777448,0.12,0.0
20,0.001073833866809894,graphsage,full,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.9998828125,1.0,0.9996091205211727,0.9998040815020951,0.00010576473294750764,0.00019705417664681035,0.9998371335504885,1.0,1.0,1.0,1.0,1.638115020036066e-09,1.0032951578461149e-05,1.0,0.0011603808812546677,0.09,0.0
25,0.0012018766511963414,graphsage,full,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999873046875,1.0,0.9995765472312703,0.999787768288392,0.00010040381842087386,0.00016740360575274015,0.9998371335504885,1.0,1.0,1.0,1.0,1.4230673759941242e-09,7.083072393670682e-06,1.0,0.0012612023898431665,0.1,0.0
30,0.0010695391725416162,graphsage,full,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.9998828125,1.0,0.9996091205211727,0.9998040815020951,9.375073816710653e-05,0.0001494648404361603,0.9998371335504885,1.0,1.0,1.0,1.0,8.556071059421726e-10,4.804862966048674e-06,1.0,0.0011641150112023896,0.09,0.0
35,0.0005000662193716769,graphsage,full,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999873046875,1.0,0.9995765472312703,0.999787768288392,9.560657982663277e-05,0.0001417361645894202,0.9998371335504885,1.0,1.0,1.0,1.0,4.717202608038367e-10,3.2889315388285183e-06,1.0,0.0012602688573562359,0.1,0.0
40,0.000706181040316421,graphsage,full,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999912109375,1.0,0.9997068403908793,0.9998530744543602,7.616001894698912e-05,0.00012710442089192782,0.9998371335504885,1.0,1.0,1.0,1.0,2.4711373376341263e-10,2.1127751252579603e-06,1.0,0.0008709858103061987,0.07,0.0
45,0.0005155263539303892,graphsage,full,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999921875,1.0,0.9997394136807816,0.9998694409792193,7.113049352851004e-05,0.00011882214668029714,0.9998371335504885,1.0,1.0,1.0,1.0,1.518549277390232e-10,1.4398784087134419e-06,1.0,0.000775765496639283,0.07,0.0
50,0.0007112426818431621,graphsage,full,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.99990234375,1.0,0.9996742671009771,0.9998367079295012,7.828557501334742e-05,0.0001154821044724663,0.9998371335504885,1.0,1.0,1.0,1.0,1.6253893388963796e-10,1.3338775622473016e-06,1.0,0.000969006721433906,0.07,0.0
55,0.0004900406326799254,graphsage,full,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999921875,1.0,0.9997394136807816,0.9998694409792193,5.8863524785797577e-05,9.98964237856459e-05,0.9999022801302931,1.0,1.0,1.0,1.0,7.413658924168203e-11,1.03362008021996e-06,1.0,0.0007748319641523524,0.07,0.0
60,0.0005666901909405299,graphsage,full,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999921875,1.0,0.9997394136807816,0.9998694409792193,5.9474476565402734e-05,0.00010406810685377627,0.9999022801302931,1.0,1.0,1.0,1.0,6.146999926008394e-11,1.186568433056135e-06,1.0,0.0007748319641523524,0.07,0.0
