epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6568753719329834,graphsage,dispersion,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.7001953125,0.0,0.0,0.0,0.18687555073645334,0.34104353407776217,0.9973289902280129,0.979609375,0.9999619771863117,0.9320195439739414,0.9605893275882952,0.08470226783198143,0.21374518242455987,0.9985667752442996,0.9026821103517387,0.9999619771863117,3.802281368821293e-05
5,0.07914525057588305,graphsage,dispersion,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.995322265625,0.9882310215642869,0.9963843648208468,0.9922341344715379,0.0047098987070939655,0.020852338949229648,0.9973941368078175,0.99994140625,0.9998054049510361,1.0,0.999902491817126,0.0003898504907455941,0.00955290505098233,0.9998697068403908,0.042839523906789766,0.93,0.0
10,0.005334088944696954,graphsage,dispersion,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999375,0.9997068341494572,0.9982084690553745,0.9989539209080158,0.00047306512575780933,0.0008842541003615402,0.9994462540716611,1.0,1.0,1.0,1.0,2.9162482625068633e-07,5.682850400914347e-05,1.0,0.006152526291562745,0.3,0.0
15,0.0037450254894793034,graphsage,dispersion,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.99962890625,0.9997067318685445,0.9990553745928338,0.999380096751815,0.0003029125990854654,0.0005366221885179185,0.9994788273615635,1.0,1.0,1.0,1.0,1.2944299434612843e-07,2.31025531977063e-05,1.0,0.003668871581492941,0.23,0.0
20,0.0027614327596633564,graphsage,dispersion,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.99962890625,0.9997067318685445,0.9990553745928338,0.999380096751815,0.000288655466692625,0.0005036158550426796,0.9994788273615635,1.0,1.0,1.0,1.0,1.20838914199213e-07,2.0464350783436206e-05,1.0,0.0036715832710978343,0.23,0.0
25,0.0023764922682728085,graphsage,dispersion,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.9996484375,0.9996744744819182,0.9991530944625405,0.9994129889565261,0.0002803382021651417,0.00046754626158483935,0.9994788273615635,1.0,1.0,1.0,1.0,9.037698425235511e-08,1.284262127676413e-05,1.0,0.0034746079163554895,0.23,0.0
30,0.0028163997755785075,graphsage,dispersion,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999658203125,0.999739199401012,0.9991205211726383,0.9994290899641346,0.0002745812619478632,0.0004598434319459566,0.9995114006514657,1.0,1.0,1.0,1.0,1.2699134469833132e-07,1.1570537110418451e-05,1.0,0.003376640349941321,0.22,0.0
35,0.0022816140803375413,graphsage,dispersion,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999697265625,0.9998370264106038,0.9991530944625405,0.9994942364566897,0.00026574958236189636,0.00045823787757075506,0.9995765472312703,1.0,1.0,1.0,1.0,1.5692942675762192e-07,1.0770548448954705e-05,1.0,0.002993874248728618,0.21,0.0
40,0.0018446962515424406,graphsage,dispersion,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.99966796875,0.9995777071337709,0.9993159609120519,0.9994460399672376,0.0002573051994866358,0.0004566487610427308,0.9995765472312703,1.0,1.0,1.0,1.0,6.290391798609381e-08,9.587653569860724e-06,1.0,0.003278690565098332,0.24,0.0
45,0.0017387295249916082,graphsage,dispersion,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999677734375,0.999610386872333,0.9993159609120519,0.9994622998697849,0.0002570101075284056,0.0004251019180129319,0.9995765472312703,1.0,1.0,1.0,1.0,1.9479838103124706e-06,1.04682286370554e-05,1.0,0.0031834702514314164,0.24,0.0
50,0.001832640147767961,graphsage,dispersion,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999677734375,0.9998047690239774,0.9991205211726383,0.999461608989052,0.00025602663300779475,0.00042663686832081584,0.9995765472312703,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,2.7446416942803016e-06,1.1229017925938247e-05,1.0,0.003283269319677087,0.21,0.01
55,0.0015607196421894645,graphsage,dispersion,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999677734375,0.999610386872333,0.9993159609120519,0.9994622998697849,0.00025457353166912704,0.0004280441198591907,0.9995765472312703,1.0,1.0,1.0,1.0,1.7463189785331792e-06,9.552560276300322e-06,1.0,0.0031908140403286035,0.24,0.0
60,0.001458432970269184,graphsage,dispersion,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.99966796875,0.9996099645203972,0.9992833876221496,0.9994459341234004,0.0002567824874860118,0.00044116445324741266,0.9995765472312703,1.0,1.0,1.0,1.0,1.973716284549134e-06,8.915376640592589e-06,1.0,0.0032823180056189764,0.25,0.0
