epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6866826925958905,graphsage,match,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.7001953125,0.0,0.0,0.0,0.2069047449393123,0.060117826905916445,0.984071661237785,0.80078125,1.0,0.3355048859934855,0.5024390243902437,0.16741159720276041,0.12314508970128372,0.984071661237785,1.0,1.0,0.0
5,0.20586343109607697,graphsage,match,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.9957421875,0.9922032540735595,0.9937133550488599,0.9928716014466618,0.014221372798225062,0.07783859842969378,0.9976547231270358,0.99998046875,0.9999350649350649,1.0,0.9999674796747968,0.007956307401589825,0.057069573251812875,0.9999348534201954,0.03797968140403245,0.93,0.0
10,0.004998813416542751,graphsage,match,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999892578125,0.9999025974025973,0.9997394136807816,0.9998206604914144,0.00010011628715072315,0.000267227088528832,0.9998697068403908,1.0,1.0,1.0,1.0,6.895171900384265e-09,2.794941591528101e-05,1.0,0.001066111881645862,0.1,0.0
15,0.0030956914249275413,graphsage,match,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999912109375,0.9999350649350649,0.9997719869706839,0.9998532338677191,7.863323615218687e-05,0.00018646854889680652,0.9999348534201954,1.0,1.0,1.0,1.0,4.005629766348093e-09,2.4573859720689682e-05,1.0,0.0008737864077669902,0.08,0.0
20,0.0019228569165404355,graphsage,match,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999921875,0.9999025974025973,0.9998371335504885,0.9998696001325237,7.092911541579076e-05,0.00016918808761087528,0.9999348534201954,1.0,1.0,1.0,1.0,4.349798455507796e-09,2.4090519185263945e-05,1.0,0.0007766990291262135,0.07,0.0
25,0.0011658106564677187,graphsage,match,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999931640625,0.9999350649350649,0.9998371335504885,0.9998858602951253,6.139962043090602e-05,0.00014349041634844676,0.9999348534201954,1.0,1.0,1.0,1.0,2.501948246480119e-09,1.9837565020226004e-05,1.0,0.0006796116504854369,0.06,0.0
30,0.001187154370459861,graphsage,match,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999931640625,1.0,0.9997719869706839,0.9998857541929224,5.789016865468416e-05,0.00011567043287753314,0.9999348534201954,1.0,1.0,1.0,1.0,1.036255984199987e-09,1.2708539411052693e-05,1.0,0.0006777445855115757,0.06,0.0
35,0.000955037732118009,graphsage,match,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999931640625,1.0,0.9997719869706839,0.9998857541929224,5.778301978585951e-05,0.00010434144494532057,0.9999674267100978,1.0,1.0,1.0,1.0,5.357227779483813e-10,8.333533331794352e-06,1.0,0.0006786781179985063,0.06,0.0
40,0.000801085914385372,graphsage,match,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999931640625,1.0,0.9997719869706839,0.9998857541929224,5.2509724427460695e-05,9.119077476488773e-05,0.9999674267100978,1.0,1.0,1.0,1.0,2.791704052024748e-10,5.379223875908281e-06,1.0,0.0006786781179985063,0.06,0.0
45,0.0007986724314313116,graphsage,match,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999931640625,1.0,0.9997719869706839,0.9998857541929224,5.1077278179254526e-05,8.834100451210812e-05,0.9999674267100978,1.0,1.0,1.0,1.0,3.2438831241084046e-10,4.9330926019181236e-06,1.0,0.0006786781179985063,0.06,0.0
50,0.0008213687334708604,graphsage,match,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.99994140625,1.0,0.9998045602605862,0.9999020674066255,4.69225875409333e-05,7.998857825559669e-05,0.9999674267100978,1.0,1.0,1.0,1.0,2.452937735105219e-10,3.5688181115524355e-06,1.0,0.0005825242718446601,0.05,0.0
55,0.0006456618679554335,graphsage,match,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.999951171875,1.0,0.9998371335504885,0.9999183806203286,4.227376711873749e-05,7.209356645494079e-05,0.9999674267100978,1.0,1.0,1.0,1.0,2.5946427853436287e-10,2.5645057129353604e-06,1.0,0.0004854368932038834,0.04,0.0
60,0.0003737612330171812,graphsage,match,kary_n5_k4_run3_train,kary_n5_k4_run3_test,0.99994140625,1.0,0.9998045602605862,0.9999020674066255,4.350090286780645e-05,7.355125614418816e-05,0.9999674267100978,1.0,1.0,1.0,1.0,5.863279189227722e-10,2.2587245058428765e-06,1.0,0.0005815907393577297,0.05,0.0
