profile,family,topology,variant,drop_feature,run,seed,accuracy,precision,recall,f1,brier,ece,topk,best_f1,best_f1_epoch,epoch_to_f1_095,epoch_to_f1_099,mean_f1_over_epochs,final_train_loss,loss_reduction
gpu,hypercube,Q10,full,none,1,8300,1.0,1.0,1.0,1.0,2.409617928461913e-06,1.1019442922210848e-05,1.0,1.0,35,1,1,0.9999598647412958,0.0004952870305195185,0.661601613568824
gpu,hypercube,Q10,w/o match ratio,match,1,8300,1.0,1.0,1.0,1.0,4.2373111344134923e-07,3.943754319634184e-06,1.0,1.0,30,5,5,0.923068167604753,0.00042114943529928235,0.7153828654518293
gpu,hypercube,Q10,w/o mismatch ratio,mismatch,1,8300,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,5.309176071118653e-06,8.638511864551351e-06,1.0,1.0,40,5,5,0.9230619096152061,0.00046443045721389353,0.7247785334017992
gpu,hypercube,Q10,w/o dispersion,dispersion,1,8300,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,3.136223402755477e-06,1.1790167420886991e-05,1.0,1.0,15,5,5,0.9497587229061649,0.0019446551658412708,0.7172500295439801
gpu,hypercube,Q10,full,none,2,9304,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,1.0281028210144788e-05,1.4326579697756904e-05,1.0,0.9999836867862969,35,1,1,0.9999473242970824,0.0005424248915265448,0.6547025215882708
gpu,hypercube,Q10,w/o match ratio,match,2,9304,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,1.0368454530191808e-05,1.4600524201179587e-05,1.0,0.9999836867862969,55,5,5,0.923043086676318,0.0005430924315338156,0.6941965047527836
gpu,hypercube,Q10,w/o mismatch ratio,mismatch,2,9304,1.0,1.0,1.0,1.0,1.6242899958556978e-06,5.356582347016667e-06,1.0,1.0,45,1,1,0.9998969859803982,0.00039520264129220905,0.6863990868795165
gpu,hypercube,Q10,w/o dispersion,dispersion,2,9304,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.2804887530982382e-05,1.9629843250794113e-05,1.0,0.9999837398373984,10,1,1,0.9999247080442745,0.0016186586913785764,0.6917354796148305
gpu,hypercube,Q10,full,none,3,10308,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.8198943477984355e-05,2.1384077981911788e-05,1.0,0.9999836867862969,10,1,1,0.9999435147398945,0.0005283585217382227,0.6797795321659318
gpu,hypercube,Q10,w/o match ratio,match,3,10308,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,3.6570190599589684e-06,7.949775467394596e-06,1.0,1.0,10,5,5,0.9617122793915854,0.0006490654320389565,0.6476519569613239
gpu,hypercube,Q10,w/o mismatch ratio,mismatch,3,10308,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,2.6368459115157563e-06,6.666738370561144e-06,1.0,1.0,5,5,5,0.9617185496236942,0.00044807752679584416,0.593265188982124
gpu,hypercube,Q10,w/o dispersion,dispersion,3,10308,0.999970703125,1.0,0.9999022801302931,0.9999510603588907,2.1461994632610703e-05,3.0246787708618532e-05,1.0,0.9999673735725938,10,5,5,0.9648726305400435,0.001562632670226906,0.5920987948276368
gpu,kary,Q4^5,full,none,1,8312,1.0,1.0,1.0,1.0,1.7152266810077101e-07,4.670544975351596e-06,1.0,1.0,10,5,5,0.9617235772357724,0.00043405055683771413,0.6606681762454432
gpu,kary,Q4^5,w/o match ratio,match,1,8312,1.0,1.0,1.0,1.0,1.0907386977670829e-06,7.053751510652651e-06,1.0,1.0,10,1,1,0.9999761657524454,0.00044182310063791064,0.6636504962516483
gpu,kary,Q4^5,w/o mismatch ratio,mismatch,1,8312,1.0,1.0,1.0,1.0,1.241123694781353e-06,7.048478851837847e-06,1.0,1.0,10,1,1,0.9999506673745239,0.0004962841350269238,0.6759479653587083
gpu,kary,Q4^5,w/o dispersion,dispersion,1,8312,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.127221766387722e-05,2.520673648805439e-05,1.0,0.9999837398373984,5,1,1,0.9999120937827746,0.002531223464757204,0.662707369841103
gpu,kary,Q4^5,full,none,2,9316,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,9.537099220677883e-06,1.1790271313506676e-05,1.0,0.9999837398373984,10,1,1,0.9999586343838311,0.00048757653608585576,0.6402599024939782
gpu,kary,Q4^5,w/o match ratio,match,2,9316,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,5.842706130357959e-06,1.1407690841615474e-05,1.0,1.0,1,1,1,0.9999837398373984,0.0006399687346337097,0.6788121780679961
gpu,kary,Q4^5,w/o mismatch ratio,mismatch,2,9316,0.999990234375,0.9999675324675324,1.0,0.9999837398373984,4.622943741328356e-06,9.414392865465921e-06,1.0,1.0,45,5,5,0.9937404705680403,0.0005237476995846789,0.674851594669495
gpu,kary,Q4^5,w/o dispersion,dispersion,2,9316,1.0,1.0,1.0,1.0,2.50521486232887e-06,1.0414343115293594e-05,1.0,1.0,30,1,1,0.999952319162177,0.0018206730518223985,0.676049719747555
gpu,kary,Q4^5,full,none,3,10320,1.0,1.0,1.0,1.0,6.146999926008394e-11,1.186568433056135e-06,1.0,1.0,10,5,5,0.99270440416221,0.0005666901909405299,0.6559271609257848
gpu,kary,Q4^5,w/o match ratio,match,3,10320,1.0,1.0,1.0,1.0,5.863279189227722e-10,2.2587245058428765e-06,1.0,1.0,10,5,5,0.9617235772357724,0.0003737612330171812,0.6863089313628734
gpu,kary,Q4^5,w/o mismatch ratio,mismatch,3,10320,1.0,1.0,1.0,1.0,1.4624373461406946e-11,7.259039883845303e-07,1.0,1.0,5,5,5,0.9806712158874764,0.00042822147120854685,0.6613920624866815
gpu,kary,Q4^5,w/o dispersion,dispersion,3,10320,1.0,1.0,1.0,1.0,1.973716284549134e-06,8.915376640592589e-06,1.0,1.0,10,1,5,0.9969596543224398,0.001458432970269184,0.6554169389627142
gpu,augmented_kary,"AQ(5,4)",full,none,1,8324,1.0,1.0,1.0,1.0,7.304264614063856e-13,2.957684863498871e-07,1.0,1.0,5,1,1,0.9999949764487717,9.11229544726666e-05,0.665866208702937
gpu,augmented_kary,"AQ(5,4)",w/o match ratio,match,1,8324,1.0,1.0,1.0,1.0,5.11860601354143e-13,2.403091213948844e-07,1.0,1.0,1,1,1,1.0,4.088357367696257e-05,0.6708591206769857
gpu,augmented_kary,"AQ(5,4)",w/o mismatch ratio,mismatch,1,8324,1.0,1.0,1.0,1.0,1.7649748337042357e-12,4.6353650642226626e-07,1.0,1.0,1,1,1,1.0,0.00010620285495731099,0.6622724318703409
gpu,augmented_kary,"AQ(5,4)",w/o dispersion,dispersion,1,8324,1.0,1.0,1.0,1.0,7.658330747590475e-12,9.161136377545126e-07,1.0,1.0,1,1,1,1.0,0.00020680694017625813,0.6599867300226053
gpu,augmented_kary,"AQ(5,4)",full,none,2,9328,1.0,1.0,1.0,1.0,4.196467164394829e-14,5.569080898270061e-08,1.0,1.0,1,1,1,1.0,2.8436173416983885e-05,0.6297849624602675
gpu,augmented_kary,"AQ(5,4)",w/o match ratio,match,2,9328,1.0,1.0,1.0,1.0,8.61264068544153e-12,9.849728102290321e-07,1.0,1.0,5,5,5,0.9617260787992495,8.130427730585714e-05,0.6265829255244171
