profile,family,topology,variant,drop_feature,run,seed,accuracy,precision,recall,f1,brier,ece,topk,best_f1,best_f1_epoch,epoch_to_f1_095,epoch_to_f1_099,mean_f1_over_epochs,final_train_loss,loss_reduction
gpu,hypercube,Q10,full,none,1,8300,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,35,1,1,1.0000,0.0005,0.6616
gpu,hypercube,Q10,w/o match ratio,match,1,8300,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,30,5,5,0.9231,0.0004,0.7154
gpu,hypercube,Q10,w/o mismatch ratio,mismatch,1,8300,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,40,5,5,0.9231,0.0005,0.7248
gpu,hypercube,Q10,w/o dispersion,dispersion,1,8300,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,15,5,5,0.9498,0.0019,0.7173
gpu,hypercube,Q10,full,none,2,9304,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,35,1,1,0.9999,0.0005,0.6547
gpu,hypercube,Q10,w/o match ratio,match,2,9304,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,55,5,5,0.9230,0.0005,0.6942
gpu,hypercube,Q10,w/o mismatch ratio,mismatch,2,9304,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,45,1,1,0.9999,0.0004,0.6864
gpu,hypercube,Q10,w/o dispersion,dispersion,2,9304,1.0000,1.0000,0.9999,1.0000,0.0000,0.0000,1.0000,1.0000,10,1,1,0.9999,0.0016,0.6917
gpu,hypercube,Q10,full,none,3,10308,1.0000,1.0000,0.9999,1.0000,0.0000,0.0000,1.0000,1.0000,10,1,1,0.9999,0.0005,0.6798
gpu,hypercube,Q10,w/o match ratio,match,3,10308,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,10,5,5,0.9617,0.0006,0.6477
gpu,hypercube,Q10,w/o mismatch ratio,mismatch,3,10308,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,5,5,5,0.9617,0.0004,0.5933
gpu,hypercube,Q10,w/o dispersion,dispersion,3,10308,1.0000,1.0000,0.9999,1.0000,0.0000,0.0000,1.0000,1.0000,10,5,5,0.9649,0.0016,0.5921
gpu,kary,Q4^5,full,none,1,8312,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,10,5,5,0.9617,0.0004,0.6607
gpu,kary,Q4^5,w/o match ratio,match,1,8312,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,10,1,1,1.0000,0.0004,0.6637
gpu,kary,Q4^5,w/o mismatch ratio,mismatch,1,8312,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,10,1,1,1.0000,0.0005,0.6759
gpu,kary,Q4^5,w/o dispersion,dispersion,1,8312,1.0000,1.0000,0.9999,1.0000,0.0000,0.0000,1.0000,1.0000,5,1,1,0.9999,0.0025,0.6627
