profile,topology,variant,drop_feature,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std,topk_mean,topk_std,best_f1_mean,best_f1_std,best_f1_epoch_mean,best_f1_epoch_std,epoch_to_f1_095_mean,epoch_to_f1_095_std,epoch_to_f1_099_mean,epoch_to_f1_099_std,mean_f1_over_epochs_mean,mean_f1_over_epochs_std,final_train_loss_mean,final_train_loss_std,loss_reduction_mean,loss_reduction_std
gpu,"AQ(5,4)",full,none,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,3.6667,2.3094,1,0,1,0,1.0000,0.0000,0.0001,0.0000,0.6450,0.0187
gpu,"AQ(5,4)",w/o dispersion,dispersion,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,3.6667,2.3094,2,2,2,2,0.9872,0.0221,0.0001,0.0001,0.6482,0.0102
gpu,"AQ(5,4)",w/o match ratio,match,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,3.6667,2.3094,2,2,4,2,0.9869,0.0218,0.0001,0.0000,0.6557,0.0253
gpu,"AQ(5,4)",w/o mismatch ratio,mismatch,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,3.6667,2.3094,4,2,4,2,0.9745,0.0220,0.0001,0.0001,0.6519,0.0143
gpu,Q10,full,none,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,26.6667,14.4338,1,0,1,0,1.0000,0.0000,0.0005,0.0000,0.6654,0.0130
gpu,Q10,w/o dispersion,dispersion,3,1.0000,0.0000,1.0000,0.0000,0.9999,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,11.6667,2.8868,4,2,4,2,0.9715,0.0257,0.0017,0.0002,0.6670,0.0661
gpu,Q10,w/o match ratio,match,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,31.6667,22.5462,5,0,5,0,0.9359,0.0223,0.0005,0.0001,0.6857,0.0346
gpu,Q10,w/o mismatch ratio,mismatch,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,30.0000,21.7945,4,2,4,2,0.9616,0.0384,0.0004,0.0000,0.6681,0.0676
gpu,Q4^5,full,none,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,10.0000,0.0000,4,2,4,2,0.9848,0.0203,0.0005,0.0001,0.6523,0.0107
gpu,Q4^5,w/o dispersion,dispersion,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,15.0000,13.2288,1,0,2,2,0.9989,0.0017,0.0019,0.0005,0.6647,0.0105
gpu,Q4^5,w/o match ratio,match,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,7.0000,5.1962,2,2,2,2,0.9872,0.0221,0.0005,0.0001,0.6763,0.0115
gpu,Q4^5,w/o mismatch ratio,mismatch,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,20.0000,21.7945,4,2,4,2,0.9915,0.0098,0.0005,0.0000,0.6707,0.0081
