epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.622840234211513,graphsage,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.703125,0.0,0.0,0.0,0.17432239546617537,0.29849172263871876,0.98,0.96875,0.9981488978857399,0.8963157894736843,0.9385203406308085,0.07817069633335853,0.19444034755691875,0.9873684210526317,0.9018813033076764,0.9981488978857399,0.0018511021142600089
5,0.0890564929161753,graphsage,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99140625,0.9884915413533834,0.9831578947368422,0.9852652395020816,0.008606862048927166,0.030025052493759575,0.9936842105263157,0.99875,0.9975,0.9984210526315789,0.9979071379071379,0.0017543490363494958,0.015580801233167442,1.0,0.06451767676767677,0.3466666666666666,0.013333333333333332
10,0.013073088468185492,graphsage,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.9975,0.9969444444444443,0.9947368421052631,0.9957449757449757,0.0017902768173428366,0.002841873158465816,0.9984210526315789,0.99921875,0.9995,0.9978947368421052,0.9986625086625086,0.0005346411068057505,0.0009094772602686423,1.0,0.018035714285714283,0.105,0.005
15,0.005289484418296654,graphsage,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.9984375,0.9984444444444445,0.9963157894736843,0.9973250173250173,0.0014675772119619299,0.002297000056480685,0.9994736842105263,0.99921875,0.9995,0.9978947368421052,0.9986474936474936,0.0006362674276548924,0.0009688473704906733,1.0,0.0125,0.065,0.015
20,0.004547928293634739,graphsage,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.998125,0.9969920634920635,0.9968421052631578,0.9968388773388773,0.0014121815255084876,0.0022328522119613946,0.9994736842105263,0.99953125,0.9995,0.9989473684210526,0.9991880341880343,0.00043657766090495544,0.0006789458429650041,1.0,0.012321428571428572,0.09,0.0
25,0.005598501002948199,graphsage,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.9984375,0.9979920634920635,0.9968421052631578,0.9973516978516979,0.0012141618753727505,0.0018926874355262057,0.9994736842105263,0.99953125,0.9995,0.9989473684210526,0.9991880341880343,0.00047084020579572013,0.0007084414576509193,1.0,0.009821428571428571,0.07,0.0
30,0.005355623118313295,graphsage,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99859375,0.9984444444444445,0.9968421052631578,0.9975952875952876,0.0010929490347085348,0.0016274463833640333,0.9994736842105263,0.99953125,0.9995,0.9989473684210526,0.9991880341880343,0.0004797320057566574,0.0006665977172203165,1.0,0.008392857142857141,0.06,0.0
35,0.003517168844285022,graphsage,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99875,0.9984444444444445,0.9973684210526315,0.9978655578655578,0.001023159507105649,0.0015950594589783683,0.9994736842105263,0.99953125,0.9995,0.9989473684210526,0.9991880341880343,0.0004171228801754846,0.0005972222943101938,1.0,0.006964285714285714,0.05,0.0
40,0.002439192496240139,graphsage,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99875,0.9989444444444444,0.9968421052631578,0.9978516978516978,0.0009503355335150302,0.0014091289926045519,0.9994736842105263,0.99953125,0.9995,0.9989473684210526,0.9991880341880343,0.00042825804123260375,0.0006113553993315397,1.0,0.006964285714285714,0.05,0.0
45,0.0027238282387510742,graphsage,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99890625,0.9984444444444445,0.9978947368421052,0.9981358281358281,0.0008540776527951769,0.0013461826643668437,0.9994736842105263,0.99953125,0.9995,0.9989473684210526,0.9991880341880343,0.000365021939776111,0.0005656651760949359,1.0,0.005535714285714286,0.04,0.0
50,0.0038266261357681026,graphsage,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99875,0.9989444444444444,0.9968421052631578,0.9978516978516978,0.0009377905622575329,0.001328810511696296,0.9994736842105263,0.999375,0.9995,0.9984210526315789,0.9989177639177639,0.0005026318325861502,0.0007106847900404336,1.0,0.00857142857142857,0.05,0.01
55,0.001765372695185111,graphsage,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.99890625,0.9989444444444444,0.9973684210526315,0.9981219681219682,0.0008557530884739751,0.0012620632100427854,0.9994736842105263,0.99953125,0.9995,0.9989473684210526,0.9991880341880343,0.0004055824616030865,0.0005759427719332862,1.0,0.005535714285714286,0.04,0.0
60,0.0024833684843283015,graphsage,full,augmented_kary_n2_k8_run1_train,augmented_kary_n2_k8_run1_test,0.9990625,0.9989444444444444,0.9978947368421052,0.9983922383922385,0.000710884738315434,0.0011949849387887705,0.9994736842105263,0.99953125,0.9995,0.9989473684210526,0.9991880341880343,0.0003156920843663694,0.0005467458812636774,1.0,0.004285714285714285,0.03,0.0
