epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6624690464564732,graphsage,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.703125,0.0,0.0,0.0,0.1973801927849488,0.37804393519647417,0.9926315789473685,0.99203125,0.9993333333333334,0.9736842105263157,0.985466686224039,0.09140374643597672,0.23765924728590046,0.9973684210526315,0.8718406249357048,0.9993333333333334,0.0006666666666666666
5,0.17409250353063857,graphsage,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.985625,0.9857003839813437,0.9663157894736841,0.9747888794035908,0.023123032104874167,0.08190658207769957,0.99,0.999375,0.998,1.0,0.9989743589743589,0.009624283256971232,0.05205829272282692,0.9978947368421052,0.09772039072039071,0.49,0.0
10,0.010962229089013167,graphsage,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9975,0.9984736842105264,0.9931578947368422,0.9957176204544624,0.002088656800136171,0.003444491461788686,0.9978947368421052,0.999375,0.9984999999999999,0.9994736842105263,0.998960498960499,0.00027119715831754683,0.0005905815642117533,1.0,0.016646825396825396,0.12,0.0
15,0.0038729014423941927,graphsage,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.998125,0.9984999999999999,0.9952631578947368,0.9967983367983367,0.0015981803038995338,0.002547353163071707,0.9978947368421052,0.999375,0.9984999999999999,0.9994736842105263,0.998960498960499,0.00027441503282097426,0.0005207723077886818,1.0,0.011249999999999998,0.08,0.0
20,0.005399200574694467,graphsage,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9984375,0.9984999999999999,0.9963157894736842,0.9973388773388773,0.0014053148986462498,0.002042830192690795,0.9984210526315789,0.999375,0.9984999999999999,0.9994736842105263,0.998960498960499,0.0003013787603492336,0.00046261191389693993,1.0,0.008392857142857141,0.06,0.0
25,0.0025871618875368896,graphsage,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99828125,0.9980476190476191,0.9963157894736842,0.9970952875952875,0.001271050653295589,0.0018172486164417922,0.9989473684210526,0.99953125,0.9984999999999999,1.0,0.9992307692307694,0.00030227864191409415,0.0004495037258863145,1.0,0.010714285714285714,0.08,0.0
30,0.0021819071511604954,graphsage,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99859375,0.9975213032581454,0.9978947368421052,0.9976500528868951,0.0011259594407193652,0.0015735003904356524,0.9989473684210526,0.99953125,0.9984999999999999,1.0,0.9992307692307694,0.00035994474031441763,0.000448281926417822,1.0,0.008035714285714287,0.05,0.0
35,0.002284244106184425,graphsage,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99875,0.9975476190476189,0.9984210526315789,0.9979199584199584,0.0010789938036608827,0.0013975362171650535,0.9989473684210526,0.99953125,0.9984999999999999,1.0,0.9992307692307694,0.0003804520871116539,0.00044666584940174,1.0,0.006964285714285714,0.05,0.0
40,0.0011220199833457758,graphsage,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99859375,0.9970476190476191,0.9984210526315789,0.9976635481635482,0.0010656249891397526,0.0014250760932930768,0.9994736842105263,0.99953125,0.9984999999999999,1.0,0.9992307692307694,0.00033954079263304085,0.0004210542302546249,1.0,0.008035714285714287,0.06,0.0
45,0.0009217803422611073,graphsage,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99859375,0.9960213032581453,0.9994736842105263,0.9976916329284751,0.0011916889865121135,0.0014877369146995795,0.9994736842105263,0.99953125,0.9984999999999999,1.0,0.9992307692307694,0.0004254361562609056,0.0004941110614832172,1.0,0.007857142857142858,0.05,0.0
50,0.0019236376455020426,graphsage,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99875,0.9970476190476191,0.9989473684210526,0.9979338184338183,0.0010766897803248037,0.001332641886709166,0.9994736842105263,0.99953125,0.9984999999999999,1.0,0.9992307692307694,0.00043090187448210714,0.00047242296971629415,1.0,0.006964285714285714,0.05,0.0
55,0.0011117666976393334,graphsage,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99875,0.9975476190476189,0.9984210526315789,0.9979199584199584,0.001001733928940594,0.0012512286744858247,0.9994736842105263,0.99953125,0.9984999999999999,1.0,0.9992307692307694,0.0004021361459014695,0.00045061386506328293,1.0,0.006785714285714286,0.05,0.0
60,0.0004608317062125674,graphsage,full,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99875,0.9975476190476189,0.9984210526315789,0.9979199584199584,0.0010045431819692234,0.0012471784710495113,0.9994736842105263,0.99953125,0.9984999999999999,1.0,0.9992307692307694,0.0004423071012106769,0.00046905465598856213,1.0,0.006964285714285714,0.05,0.0
