epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6928528802735465,graphsage,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.703125,0.0,0.0,0.0,0.216595573367203,0.1432972749322653,0.9836842105263157,0.703125,0.0,0.0,0.0,0.216595573367203,0.1432972749322653,0.9836842105263157,0.0,0.0,0.0
5,0.28427345412118094,graphsage,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.9778125,0.9839968481810587,0.941578947368421,0.9600338774047807,0.033270645344400544,0.1180789773343713,0.98,0.99515625,0.9862117794486216,0.9984210526315789,0.9920741693110113,0.01463151294601742,0.07696531696187615,0.9894736842105263,0.10198182209946914,0.47,0.0
10,0.03632425383797714,graphsage,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.9940625,0.9857662717399559,0.9952631578947368,0.990220165608484,0.004878084190351314,0.007302386276256742,0.9963157894736842,0.99625,0.9881904761904761,1.0,0.9938974358974358,0.0031271240102034546,0.004222791226578627,0.9994736842105263,0.01857142857142857,0.11,0.0
15,0.018719577696174383,graphsage,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.9946875,0.9891854636591478,0.9936842105263157,0.9911805631542472,0.0030746724035084568,0.007465424879751126,0.9978947368421052,0.99671875,0.9916428571428572,0.9978947368421052,0.994598406098406,0.0019741465362246,0.00446272868977268,0.9994736842105263,0.022043650793650792,0.14,0.02
20,0.01571053745491164,graphsage,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.9965625,0.9954736842105263,0.9931578947368422,0.994193018929861,0.0023509007998064302,0.00560719164212994,0.9984210526315789,0.99734375,0.996,0.9952631578947368,0.9955151305151305,0.0016604341107780986,0.003597093279184071,0.9994736842105263,0.01714285714285714,0.085,0.035
25,0.014134932775050402,graphsage,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.99765625,0.9994736842105263,0.9926315789473685,0.9959451556819977,0.0019949569809949567,0.0050249593649783365,0.9989473684210526,0.99796875,0.9984736842105264,0.9947368421052631,0.9965134162502584,0.0015433921503270056,0.0034113150523936014,0.9994736842105263,0.013253968253968254,0.055,0.035
30,0.013935882465115615,graphsage,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.99796875,0.9994736842105263,0.993684210526316,0.9964856962225384,0.0017747922082516302,0.004706702820621018,0.9989473684210526,0.99796875,0.9984736842105264,0.9947368421052631,0.9965134162502584,0.0014139491955487138,0.003112415855449272,0.9994736842105263,0.010714285714285714,0.035,0.035
35,0.009752837225927838,graphsage,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.998125,1.0,0.993684210526316,0.9967417417417417,0.0017431104961986021,0.004541509548444394,0.9989473684210526,0.9984375,1.0,0.9947368421052631,0.9972822822822823,0.0013808058726883206,0.0031122823578019713,0.9994736842105263,0.008214285714285714,0.04,0.02
40,0.008575259142422251,graphsage,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.9978125,0.9989736842105263,0.993684210526316,0.9962292859661281,0.001666646893519549,0.0038099814617646014,0.9984210526315789,0.998125,0.9984736842105264,0.9952631578947367,0.9967836865205285,0.0012629769317082187,0.002668734345106188,0.9994736842105263,0.008392857142857143,0.035,0.015
45,0.009533919859677553,graphsage,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.998125,0.9994736842105263,0.9942105263157894,0.9967559664928086,0.0015023817106323894,0.0036212860667800425,0.9984210526315789,0.99828125,0.9989736842105263,0.9952631578947367,0.9970400967769387,0.0011024680588914986,0.002494918881490024,0.9994736842105263,0.006607142857142857,0.03,0.02
50,0.00938039445983512,graphsage,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.99828125,1.0,0.9942105263157894,0.9970120120120121,0.00143720818943618,0.003229541935751968,0.9989473684210526,0.99859375,1.0,0.9952631578947367,0.9975525525525525,0.0010625531184605599,0.0022004278228354686,0.9994736842105263,0.005357142857142857,0.03,0.01
55,0.010207567563546556,graphsage,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.99796875,1.0,0.9931578947368422,0.9964714714714714,0.0015679556448477065,0.00322499466339113,0.9984210526315789,0.99875,1.0,0.9957894736842104,0.9978228228228229,0.0010078547620512072,0.0021424329547475142,0.9994736842105263,0.006964285714285714,0.05,0.0
60,0.009585560166410037,graphsage,full,kary_n2_k8_run3_train,kary_n2_k8_run3_test,0.99828125,1.0,0.9942105263157894,0.9970120120120121,0.0013512316103286431,0.003116834189286326,0.9989473684210526,0.99875,1.0,0.9957894736842104,0.9978228228228229,0.001022359010109434,0.0020999749327207024,0.9994736842105263,0.006964285714285714,0.04,0.01
