profile,family,topology,variant,run,seed,accuracy,precision,recall,f1,brier,ece,topk,best_f1,best_f1_epoch,epoch_to_f1_095,epoch_to_f1_099,mean_f1_over_epochs,final_train_loss,loss_reduction,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
gpu,hypercube,Q6,w/o posterior refinement,1,9300,0.99875,0.9975476190476189,0.9984210526315789,0.9979199584199584,0.0010045431819692234,0.0012471784710495113,0.9994736842105263,0.9979338184338183,50,5,10,0.9189567637894743,0.0004608317062125674,0.6620082147502606,0.006964285714285714,0.05,0.0
gpu,hypercube,Q6,full,1,9300,0.99953125,0.9984999999999999,1.0,0.9992307692307694,0.0004423071012106769,0.00046905465598856213,1.0,0.9992307692307694,25,1,5,0.9980898996866192,0.0004608317062125674,0.6620082147502606,0.006964285714285714,0.05,0.0
gpu,hypercube,Q6,w/o posterior refinement,2,10302,0.9990625,0.9984999999999999,0.9984210526315789,0.9984199584199583,0.000634171420743639,0.0009912823915882519,1.0,0.9984199584199583,30,5,10,0.9413834084610987,0.002171950784811218,0.660685062304505,0.008392857142857141,0.05,0.01
gpu,hypercube,Q6,full,2,10302,0.9996875,0.9995,0.9994736842105263,0.9994733194733194,0.00030106411161163105,0.0003698927514386868,1.0,0.9997435897435898,10,5,5,0.9936382147297342,0.002171950784811218,0.660685062304505,0.008392857142857141,0.05,0.01
gpu,hypercube,Q6,w/o posterior refinement,3,11304,0.9996875,0.9995,0.9994736842105263,0.9994733194733194,0.00020404012228265953,0.0008061788150504182,1.0,0.9997297297297297,50,5,10,0.9202366591371876,0.00264814925113959,0.6408523661417089,0.0026785714285714286,0.02,0.0
gpu,hypercube,Q6,full,3,11304,1.0,1.0,1.0,1.0,4.9325338100693485e-05,0.0001500905192276381,1.0,1.0,35,1,5,0.9985294123649388,0.00264814925113959,0.6408523661417089,0.0026785714285714286,0.02,0.0
gpu,kary,Q8^2,w/o posterior refinement,1,9306,0.9959375,0.9936428571428572,0.9931578947368422,0.9931615846615846,0.002263973716875929,0.0036952151431710626,0.9989473684210526,0.9954308154308155,55,10,15,0.9131377784752112,0.004697632111076798,0.6548311938531697,0.012936507936507935,0.09,0.01
gpu,kary,Q8^2,full,1,9306,0.9971875,0.995595238095238,0.9952631578947368,0.9952705012705012,0.0017536341710351093,0.0031585662701979155,0.9994736842105263,0.9964991914991914,55,1,10,0.9931109439693626,0.004697632111076798,0.6548311938531697,0.012936507936507935,0.09,0.01
gpu,kary,Q8^2,w/o posterior refinement,2,10308,0.99640625,0.9979473684210527,0.99,0.9938249382986224,0.0030464451211046017,0.00500063990628621,0.9957894736842104,0.9938249382986224,60,10,30,0.9112311411684842,0.008067387555326735,0.6725269885999815,0.024464285714285713,0.13,0.05
gpu,kary,Q8^2,full,2,10308,0.99765625,0.9959736842105262,0.9963157894736842,0.9960571907940329,0.0017498281785228997,0.002775404675344642,0.9984210526315789,0.9960571907940329,60,5,10,0.9897296182977626,0.008067387555326735,0.6725269885999815,0.024464285714285713,0.13,0.05
gpu,kary,Q8^2,w/o posterior refinement,3,11310,0.99828125,1.0,0.9942105263157894,0.9970120120120121,0.0013512316103286431,0.003116834189286326,0.9989473684210526,0.9970120120120121,50,5,10,0.9160216128229295,0.009585560166410037,0.6832673201071365,0.006964285714285714,0.04,0.01
gpu,kary,Q8^2,full,3,11310,0.99875,1.0,0.9957894736842104,0.9978228228228229,0.001022359010109434,0.0020999749327207024,0.9994736842105263,0.9978228228228229,55,5,5,0.9194935567769575,0.009585560166410037,0.6832673201071365,0.006964285714285714,0.04,0.01
gpu,augmented_kary,"AQ(2,8)",w/o posterior refinement,1,9312,0.9990625,0.9989444444444444,0.9978947368421052,0.9983922383922385,0.000710884738315434,0.0011949849387887705,0.9994736842105263,0.9983922383922385,60,5,10,0.919872314121302,0.0024833684843283015,0.6203568657271847,0.004285714285714285,0.03,0.0
gpu,augmented_kary,"AQ(2,8)",full,1,9312,0.99953125,0.9995,0.9989473684210526,0.9991880341880343,0.0003156920843663694,0.0005467458812636774,1.0,0.9991880341880343,20,5,5,0.9943199629438452,0.0024833684843283015,0.6203568657271847,0.004285714285714285,0.03,0.0
gpu,augmented_kary,"AQ(2,8)",w/o posterior refinement,2,10314,0.999375,0.9984999999999999,0.9994736842105263,0.998960498960499,0.0006417768582365721,0.0010290846121940652,1.0,0.998960498960499,60,5,10,0.919406192070209,0.0015712093071280314,0.6300694293167908,0.0026785714285714286,0.01,0.01
gpu,augmented_kary,"AQ(2,8)",full,2,10314,0.999375,0.9984999999999999,0.9994736842105263,0.998960498960499,0.0004434457389852769,0.0006211730447862236,1.0,0.998960498960499,15,5,5,0.9630847593155286,0.0015712093071280314,0.6300694293167908,0.0026785714285714286,0.01,0.01
gpu,augmented_kary,"AQ(2,8)",w/o posterior refinement,3,11316,0.999375,0.9995,0.9984210526315789,0.9989327789327789,0.0005776609699116658,0.0010025885131537714,0.9989473684210526,0.9989327789327789,45,5,10,0.9205255861667928,0.002779795446258504,0.6377384866947458,0.004107142857142857,0.02,0.01
gpu,augmented_kary,"AQ(2,8)",full,3,11316,0.99953125,0.9995,0.9989473684210526,0.9992030492030491,0.0003032810721554306,0.0004645884579123129,1.0,0.9994594594594594,10,5,5,0.9635160989391758,0.002779795446258504,0.6377384866947458,0.004107142857142857,0.02,0.01
