profile,family,topology,variant,run,seed,accuracy,precision,recall,f1,brier,ece,topk,best_f1,best_f1_epoch,epoch_to_f1_095,epoch_to_f1_099,mean_f1_over_epochs,final_train_loss,loss_reduction,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
gpu,hypercube,Q6,w/o posterior refinement,1,9300,0.9988,0.9975,0.9984,0.9979,0.0010,0.0012,0.9995,0.9979,50,5,10,0.9190,0.0005,0.6620,0.0070,0.0500,0.0000
gpu,hypercube,Q6,full,1,9300,0.9995,0.9985,1.0000,0.9992,0.0004,0.0005,1.0000,0.9992,25,1,5,0.9981,0.0005,0.6620,0.0070,0.0500,0.0000
gpu,hypercube,Q6,w/o posterior refinement,2,10302,0.9991,0.9985,0.9984,0.9984,0.0006,0.0010,1.0000,0.9984,30,5,10,0.9414,0.0022,0.6607,0.0084,0.0500,0.0100
gpu,hypercube,Q6,full,2,10302,0.9997,0.9995,0.9995,0.9995,0.0003,0.0004,1.0000,0.9997,10,5,5,0.9936,0.0022,0.6607,0.0084,0.0500,0.0100
gpu,hypercube,Q6,w/o posterior refinement,3,11304,0.9997,0.9995,0.9995,0.9995,0.0002,0.0008,1.0000,0.9997,50,5,10,0.9202,0.0026,0.6409,0.0027,0.0200,0.0000
gpu,hypercube,Q6,full,3,11304,1.0000,1.0000,1.0000,1.0000,0.0000,0.0002,1.0000,1.0000,35,1,5,0.9985,0.0026,0.6409,0.0027,0.0200,0.0000
gpu,kary,Q8^2,w/o posterior refinement,1,9306,0.9959,0.9936,0.9932,0.9932,0.0023,0.0037,0.9989,0.9954,55,10,15,0.9131,0.0047,0.6548,0.0129,0.0900,0.0100
gpu,kary,Q8^2,full,1,9306,0.9972,0.9956,0.9953,0.9953,0.0018,0.0032,0.9995,0.9965,55,1,10,0.9931,0.0047,0.6548,0.0129,0.0900,0.0100
gpu,kary,Q8^2,w/o posterior refinement,2,10308,0.9964,0.9979,0.9900,0.9938,0.0030,0.0050,0.9958,0.9938,60,10,30,0.9112,0.0081,0.6725,0.0245,0.1300,0.0500
gpu,kary,Q8^2,full,2,10308,0.9977,0.9960,0.9963,0.9961,0.0017,0.0028,0.9984,0.9961,60,5,10,0.9897,0.0081,0.6725,0.0245,0.1300,0.0500
gpu,kary,Q8^2,w/o posterior refinement,3,11310,0.9983,1.0000,0.9942,0.9970,0.0014,0.0031,0.9989,0.9970,50,5,10,0.9160,0.0096,0.6833,0.0070,0.0400,0.0100
gpu,kary,Q8^2,full,3,11310,0.9988,1.0000,0.9958,0.9978,0.0010,0.0021,0.9995,0.9978,55,5,5,0.9195,0.0096,0.6833,0.0070,0.0400,0.0100
gpu,augmented_kary,"AQ(2,8)",w/o posterior refinement,1,9312,0.9991,0.9989,0.9979,0.9984,0.0007,0.0012,0.9995,0.9984,60,5,10,0.9199,0.0025,0.6204,0.0043,0.0300,0.0000
gpu,augmented_kary,"AQ(2,8)",full,1,9312,0.9995,0.9995,0.9989,0.9992,0.0003,0.0005,1.0000,0.9992,20,5,5,0.9943,0.0025,0.6204,0.0043,0.0300,0.0000
gpu,augmented_kary,"AQ(2,8)",w/o posterior refinement,2,10314,0.9994,0.9985,0.9995,0.9990,0.0006,0.0010,1.0000,0.9990,60,5,10,0.9194,0.0016,0.6301,0.0027,0.0100,0.0100
gpu,augmented_kary,"AQ(2,8)",full,2,10314,0.9994,0.9985,0.9995,0.9990,0.0004,0.0006,1.0000,0.9990,15,5,5,0.9631,0.0016,0.6301,0.0027,0.0100,0.0100
gpu,augmented_kary,"AQ(2,8)",w/o posterior refinement,3,11316,0.9994,0.9995,0.9984,0.9989,0.0006,0.0010,0.9989,0.9989,45,5,10,0.9205,0.0028,0.6377,0.0041,0.0200,0.0100
gpu,augmented_kary,"AQ(2,8)",full,3,11316,0.9995,0.9995,0.9989,0.9992,0.0003,0.0005,1.0000,0.9995,10,5,5,0.9635,0.0028,0.6377,0.0041,0.0200,0.0100
